Source Plate Name,Source Plate Type,Source Well,Sample ID,Sample Name,Sample Group,Sample Comment,Destination Plate Name,Destination Well,Transfer Volume,,NOTES,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],E1,4300,,BUFFER,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],E2,4300,,WELL 1,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],E5,4300,,,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],E6,4300,,,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],E7,4300,,,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],F1,4300,,,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],F2,4300,,,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],F3,4300,,,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],F4,4300,,,total buf / source well,,71.25,uL
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],F5,4300,,,,,71250,nL
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],F6,4300,,,68800,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],F7,4300,,,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],F8,4300,,,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],G1,4300,,,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],G2,4300,,,,,,
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],G5,4300,,,,,,
Source[1],384PP_AQ_BP,B2,,,,,Destination[1],G6,4300,,BUFFER,,,,
Source[1],384PP_AQ_BP,B2,,,,,Destination[1],G7,4300,,WELL 2,,,,
Source[1],384PP_AQ_BP,B2,,,,,Destination[1],G8,4300,,,leftover in well 2,,,
Source[1],384PP_AQ_BP,B2,,,,,Destination[1],H1,4300,,,23950,,,
Source[1],384PP_AQ_BP,B2,,,,,Destination[1],H2,4300,,,,,,
Source[1],384PP_AQ_BP,B2,,,,,Destination[1],H3,4300,,,,,,
Source[1],384PP_AQ_BP,B2,,,,,Destination[1],H4,4300,,,,,,
Source[1],384PP_AQ_BP,B2,,,,,Destination[1],H5,4300,,,,,,
Source[1],384PP_AQ_BP,B2,,,,,Destination[1],H6,4300,,,,1450,,
Source[1],384PP_AQ_BP,B2,,,,,Destination[1],H7,4300,,,,,,
Source[1],384PP_AQ_BP,B2,,,,,Destination[1],H8,4300,,,,,,
Source[1],384PP_AQ_BP,B2,,,,,Destination[1],F8,1450,,BUFFER - MORE IN BEG,,,,
Source[1],384PP_AQ_BP,B3,,,,,Destination[1],E1,1170,,DNA,,,,
Source[1],384PP_AQ_BP,B3,,,,,Destination[1],E2,1170,,,,,,
