Source Plate Name,Source Plate Type,Source Well,Sample ID,Sample Name,Sample Group,Sample Comment,Destination Plate Name,Destination Well,Transfer Volume,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],A1,9325,water,SETUP1,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],A2,2625,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],A3,1450,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],A4,6125,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],A5,7000,,,nL,uL,,ADD
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],A2,4375,buffer,water C1,26525,26.525,79.575,94.575
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],A3,4375,,buffer c2,13125,13.125,39.375,54.375
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],A4,4375,,dna c3,2350,2.35,7.05,22.05
Source[1],384PP_AQ_BP,C3,,,,,Destination[1],A1,1175,DNA,,,,,
Source[1],384PP_AQ_BP,A7,,,,,Destination[1],A3,1175,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],B1,9325,water,SETUP2,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],B2,2625,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],B3,1450,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],B4,6125,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],B5,7000,,,,,,
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],B2,4375,buffer,,,,,
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],B3,4375,,,,,,
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],B4,4375,,,,,,
Source[1],384PP_AQ_BP,C3,,,,,Destination[1],B1,1175,DNA,,,,,
Source[1],384PP_AQ_BP,A7,,,,,Destination[1],B3,1175,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],C1,9325,WATER,SETUP 2,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],C2,2625,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],C3,1450,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],C4,6125,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],C5,7000,,,,,,
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],C2,4375,BUFFER,,,,,
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],C3,4375,,,,,,
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],C4,4375,,,,,,
Source[1],384PP_AQ_BP,C3,,,,,Destination[1],C1,1175,DNA,,,,,
Source[1],384PP_AQ_BP,A7,,,,,Destination[1],C3,1175,,,,,,
