Source Plate Name,Source Plate Type,Source Well,Sample ID,Sample Name,Sample Group,Sample Comment,Destination Plate Name,Destination Well,Transfer Volume,,,,,,,,
Source[1],384PP_AQ_BP,D1,,,,,Destination[1],C7,4375,BUFFER,,source wells,,nL total,uL total,uL to add,
Source[1],384PP_AQ_BP,D1,,,,,Destination[1],D7,4375,,,buffer,D1,26250,26.25,41.25,D
Source[1],384PP_AQ_BP,D1,,,,,Destination[1],C9,4375,,,water,D3,43700,43.7,58.7,D
Source[1],384PP_AQ_BP,D1,,,,,Destination[1],D9,4375,,,dna,D2,7050,7.05,22.05,
Source[1],384PP_AQ_BP,D1,,,,,Destination[1],C11,4375,,,,,,,,
Source[1],384PP_AQ_BP,D1,,,,,Destination[1],D11,4375,,,,,,,,
,,,,,,,,,,,,,,,,,
Source[1],384PP_AQ_BP,D3,,,,,Destination[1],C7,1450,WATER,,,,,,,
Source[1],384PP_AQ_BP,D3,,,,,Destination[1],D7,1450,,,,,,,,
Source[1],384PP_AQ_BP,D3,,,,,Destination[1],C8,7000,,,,,,,,
Source[1],384PP_AQ_BP,D3,,,,,Destination[1],D8,7000,,,,,,,,
Source[1],384PP_AQ_BP,D3,,,,,Destination[1],C9,2625,,,,,,,,
Source[1],384PP_AQ_BP,D3,,,,,Destination[1],D9,2625,,,,,,,,
Source[1],384PP_AQ_BP,D3,,,,,Destination[1],C10,5825,,,,,,,,
Source[1],384PP_AQ_BP,D3,,,,,Destination[1],D10,5825,,,,,,,,
Source[1],384PP_AQ_BP,D3,,,,,Destination[1],C11,4950,,,,,,,,
Source[1],384PP_AQ_BP,D3,,,,,Destination[1],D11,4950,,,,,,,,
,,,,,,,,,,,,,,,,,
Source[1],384PP_AQ_BP,D2,,,,,Destination[1],C7,1175,DNA,,,,,,,
Source[1],384PP_AQ_BP,D2,,,,,Destination[1],D7,1175,,,,,,,,
Source[1],384PP_AQ_BP,D2,,,,,Destination[1],C10,1175,,,,,,,,
Source[1],384PP_AQ_BP,D2,,,,,Destination[1],D10,1175,,,,,,,,
Source[1],384PP_AQ_BP,D2,,,,,Destination[1],C11,1175,,,,,,,,
Source[1],384PP_AQ_BP,D2,,,,,Destination[1],D11,1175,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
