

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201005_psigmax_plac_day1.xpt
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Miki.Yun\MY_ gfp_485_515_091117_ protocol.prt



Plate Number	Plate 1
Date	10/5/2020
Time	12:07:36 PM
Reader Type:	Synergy H1
Reader Serial Number:	271275
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 29°C
	Preheat before moving to next step
Start Kinetic	Runtime 14:00:00 (HH:MM:SS), Interval 0:03:00, 281 Reads
    Read	gfp
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7																		Well ID
B																									Well ID
C																									Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

gfp:485,515

Time	T° gfp:485,515	A1	A2	A3	A4	A5	A6	A7
0:00:00	29.0	46	71	50	53	43	53	43
0:03:00	29.1	22	58	36	28	30	47	33
0:06:00	29.1	23	68	29	25	43	48	27
0:09:00	29.1	24	90	32	42	53	55	46
0:12:00	29.0	32	122	37	51	60	75	57
0:15:00	29.0	38	155	39	66	76	115	89
0:18:00	29.0	24	180	51	80	104	154	122
0:21:00	29.1	30	208	55	100	126	195	170
0:24:00	29.0	34	242	65	129	167	265	215
0:27:00	29.1	32	279	81	166	218	333	267
0:30:00	29.0	27	314	94	196	250	425	329
0:33:00	29.0	29	346	104	214	304	505	418
0:36:00	29.0	17	381	118	263	352	591	487
0:39:00	29.0	25	403	126	299	410	692	563
0:42:00	29.0	23	447	154	360	475	777	659
0:45:00	29.0	20	486	178	402	542	885	732
0:48:00	29.1	24	532	187	446	616	1012	829
0:51:00	29.0	22	567	211	505	697	1093	926
0:54:00	29.0	22	587	225	563	725	1182	1010
0:57:00	29.0	29	625	265	623	824	1268	1122
1:00:00	29.0	30	691	292	671	899	1356	1212
1:03:00	29.0	20	731	306	731	967	1457	1319
1:06:00	29.0	30	765	343	785	1023	1529	1355
1:09:00	29.0	31	808	369	845	1112	1601	1468
1:12:00	29.0	30	844	394	917	1169	1668	1538
1:15:00	29.0	20	864	417	977	1258	1769	1598
1:18:00	29.0	29	915	440	1032	1309	1839	1710
1:21:00	29.0	29	971	485	1085	1378	1913	1742
1:24:00	29.0	34	1012	526	1115	1448	1949	1816
1:27:00	29.0	32	1055	539	1186	1509	2018	1909
1:30:00	29.0	40	1109	564	1230	1582	2105	1971
1:33:00	29.0	32	1127	603	1321	1637	2130	2034
1:36:00	29.0	31	1186	640	1401	1669	2190	2090
1:39:00	29.1	28	1238	672	1402	1773	2201	2112
1:42:00	29.0	31	1277	715	1473	1838	2249	2163
1:45:00	29.1	30	1323	740	1533	1865	2355	2219
1:48:00	29.1	30	1328	757	1622	1950	2359	2284
1:51:00	29.1	28	1416	812	1595	1986	2393	2287
