

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201006_psigmax_28_day2.xpt
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Miki.Yun\MY_ gfp_485_515_091117_ protocol.prt



Plate Number	Plate 1
Date	10/6/2020
Time	9:42:45 AM
Reader Type:	Synergy H1
Reader Serial Number:	271275
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 29°C
	Preheat before moving to next step
Start Kinetic	Runtime 14:00:00 (HH:MM:SS), Interval 0:03:00, 281 Reads
    Read	gfp
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C	SPL1	SPL2	SPL3	SPL4	SPL5																				Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

gfp:485,515

Time	T° gfp:485,515	C1	C2	C3	C4	C5
0:00:00	29.0	31	41	42	48	45
0:03:00	29.1	32	42	39	42	20
0:06:00	29.1	31	36	41	45	25
0:09:00	29.0	28	36	36	39	26
0:12:00	29.0	33	40	36	22	30
0:15:00	29.0	34	38	41	14	21
0:18:00	29.0	34	30	29	19	22
0:21:00	29.0	42	26	11	17	25
0:24:00	29.0	32	12	11	20	17
0:27:00	29.0	34	15	9	24	20
0:30:00	29.1	28	9	13	8	26
0:33:00	29.0	33	18	14	28	17
0:36:00	29.0	39	17	22	26	23
0:39:00	29.0	37	25	24	19	23
0:42:00	29.1	46	20	27	27	24
0:45:00	29.0	46	20	26	22	25
0:48:00	29.0	49	18	35	22	28
0:51:00	29.0	53	21	35	18	23
0:54:00	29.0	56	18	47	17	36
0:57:00	29.0	57	29	57	21	32
1:00:00	29.0	63	21	70	19	29
1:03:00	29.0	60	21	97	14	25
1:06:00	29.1	72	18	114	20	38
1:09:00	29.0	75	23	144	21	38
1:12:00	29.0	89	14	176	20	38
1:15:00	29.0	96	13	210	26	42
1:18:00	29.0	114	18	255	22	43
1:21:00	29.0	120	25	289	28	46
1:24:00	29.0	146	25	338	18	33
1:27:00	29.0	158	25	388	27	43
1:30:00	29.0	169	16	442	26	56
1:33:00	29.0	197	16	496	23	61
1:36:00	29.0	207	13	548	33	45
1:39:00	29.0	224	23	607	25	47
1:42:00	29.0	244	23	675	22	50
1:45:00	29.0	270	20	740	30	53
1:48:00	29.0	273	25	812	26	52
1:51:00	29.0	303	25	886	29	59
1:54:00	29.0	316	22	933	26	65
1:57:00	29.1	329	21	1029	20	69
2:00:00	29.0	348	32	1116	30	56
2:03:00	29.0	353	25	1154	22	60
2:06:00	29.0	381	18	1241	21	76
2:09:00	29.0	388	33	1314	29	66
2:12:00	29.0	412	25	1391	30	66
2:15:00	29.1	428	24	1460	26	73
2:18:00	29.0	447	27	1551	27	79
2:21:00	29.1	464	25	1612	35	74
2:24:00	29.0	490	25	1667	30	80
2:27:00	29.0	493	30	1759	29	75
2:30:00	29.0	526	17	1802	32	79
2:33:00	29.0	542	29	1884	22	84
2:36:00	29.0	555	27	1947	32	77
2:39:00	29.1	578	29	2034	34	73
2:42:00	29.0	586	29	2100	36	95
2:45:00	29.0	610	27	2194	27	88
2:48:00	29.0	629	25	2262	41	89
2:51:00	29.0	624	29	2318	39	82
2:54:00	29.0	674	29	2338	33	88
2:57:00	29.1	667	23	2438	37	97
3:00:00	29.1	685	30	2491	33	96
3:03:00	29.1	703	29	2554	32	95
3:06:00	29.1	719	27	2638	32	95
3:09:00	29.1	738	26	2761	40	102
3:12:00	29.1	741	23	2734	31	99
3:15:00	29.1	757	28	2757	33	98
3:18:00	29.1	788	29	2884	38	104
3:21:00	29.1	801	35	2928	38	107
3:24:00	29.1	811	33	2986	40	102
3:27:00	29.1	842	31	2993	24	111
3:30:00	29.0	843	38	3142	32	105
3:33:00	29.1	868	36	3194	43	108
3:36:00	29.0	887	31	3298	42	107
3:39:00	29.0	884	35	3323	36	123
3:42:00	29.1	898	35	3406	37	113
3:45:00	29.1	921	38	3401	34	122
3:48:00	29.1	938	42	3397	37	115
3:51:00	29.0	933	39	3489	40	130
3:54:00	29.1	975	33	3563	42	120
3:57:00	29.1	973	37	3625	42	125
4:00:00	29.1	986	32	3756	38	121
4:03:00	29.1	991	47	3783	38	127
4:06:00	29.1	1008	38	3808	42	125
4:09:00	29.1	1037	43	3890	48	142
4:12:00	29.1	1055	36	3926	40	128
4:15:00	29.1	1040	44	3983	41	129
4:18:00	29.1	1064	45	4071	41	129
4:21:00	29.1	1093	36	4003	32	129
4:24:00	29.1	1084	40	4078	46	134
4:27:00	29.0	1113	45	4171	40	140
4:30:00	29.1	1131	49	4238	42	146
4:33:00	29.1	1132	46	4306	41	140
4:36:00	29.1	1144	42	4202	41	141
4:39:00	29.1	1155	41	4310	43	150
4:42:00	29.1	1181	48	4391	44	138
4:45:00	29.1	1178	46	4523	42	146
4:48:00	29.0	1204	47	4437	49	151
4:51:00	29.0	1161	46	4536	47	147
4:54:00	29.1	1227	51	4624	46	150
4:57:00	29.1	1199	53	4653	45	161
5:00:00	29.1	1251	51	4688	47	149
5:03:00	29.0	1287	44	4727	49	160
5:06:00	29.1	1236	47	4749	43	154
5:09:00	29.1	1284	47	4784	36	152
5:12:00	29.1	1283	53	4854	44	160
5:15:00	29.1	1295	60	4908	51	160
5:18:00	29.1	1320	51	4948	51	160
5:21:00	29.1	1314	52	4963	52	159
5:24:00	29.1	1326	55	5034	45	162
5:27:00	29.1	1340	58	4966	49	165
5:30:00	29.1	1351	62	5140	54	168
5:33:00	29.1	1335	58	5072	49	161
5:36:00	29.1	1362	61	5137	50	170
5:39:00	29.1	1377	56	5210	50	172
5:42:00	29.1	1345	54	5148	49	168
5:45:00	29.0	1387	66	5218	51	168
5:48:00	29.0	1390	53	5273	56	167
5:51:00	29.0	1404	54	5203	56	172
5:54:00	29.0	1426	57	5347	55	170
5:57:00	29.0	1415	61	5441	51	169
6:00:00	29.0	1464	55	5429	54	171
6:03:00	29.0	1456	61	5370	51	172
6:06:00	29.0	1440	56	5364	47	180
6:09:00	29.0	1493	60	5429	51	174
6:12:00	29.0	1473	55	5536	52	185
6:15:00	29.0	1491	63	5510	58	175
6:18:00	29.0	1524	68	5606	54	186
6:21:00	29.0	1519	61	5606	57	185
6:24:00	29.0	1498	67	5556	53	175
6:27:00	29.0	1499	70	5747	53	185
6:30:00	29.0	1531	66	5669	45	183
6:33:00	29.0	1552	76	5671	56	193
6:36:00	29.0	1541	66	5648	59	191
6:39:00	29.0	1571	62	5702	61	180
6:42:00	29.0	1601	73	5724	58	189
6:45:00	29.0	1555	70	5682	50	179
6:48:00	29.0	1593	70	5776	51	191
6:51:00	29.0	1602	75	5898	55	193
6:54:00	29.0	1585	68	5818	63	187
6:57:00	29.0	1585	71	5839	60	195
7:00:00	29.0	1602	72	5863	54	193
7:03:00	29.0	1628	77	5773	56	190
7:06:00	29.0	1606	65	5805	58	196
7:09:00	29.0	1661	77	5822	56	203
7:12:00	29.0	1660	76	5989	57	199
7:15:00	29.0	1671	81	5794	57	200
7:18:00	29.1	1678	71	5856	53	204
7:21:00	29.0	1668	81	5874	62	199
7:24:00	29.0	1670	75	5913	65	202
7:27:00	29.0	1721	78	5936	60	202
7:30:00	29.0	1675	79	5977	61	200
7:33:00	29.0	1699	77	5947	66	206
7:36:00	29.0	1733	89	5930	54	191
7:39:00	29.0	1746	80	6062	61	200
7:42:00	29.0	1737	76	6030	59	198
7:45:00	29.0	1773	76	6065	59	206
7:48:00	29.0	1759	78	5985	62	201
7:51:00	29.0	1768	76	5954	60	201
7:54:00	29.0	1772	79	6044	62	201
7:57:00	29.0	1772	82	6008	61	205
8:00:00	29.0	1790	82	6156	64	203
8:03:00	29.0	1785	83	6164	61	202
8:06:00	29.0	1774	79	6168	59	196
8:09:00	29.0	1787	87	6224	61	206
8:12:00	29.0	1803	80	6178	59	211
8:15:00	29.0	1825	75	6157	58	207
8:18:00	29.1	1815	86	6247	61	214
8:21:00	29.1	1840	85	6245	66	214
8:24:00	29.0	1806	85	5985	63	216
8:27:00	29.0	1836	86	6104	57	211
8:30:00	29.0	1847	88	6132	67	209
8:33:00	29.0	1888	81	6119	62	201
8:36:00	29.0	1888	82	6185	58	220
8:39:00	29.0	1868	81	6230	60	206
8:42:00	29.0	1905	83	6356	68	204
8:45:00	29.0	1881	86	6300	59	217
8:48:00	29.1	1887	92	6257	68	212
8:51:00	29.0	1923	83	6236	65	215
8:54:00	29.0	1877	76	6256	57	210
8:57:00	29.0	1918	88	6364	67	208
9:00:00	29.0	1884	88	6330	63	214
9:03:00	29.0	1937	92	6401	61	218
9:06:00	29.0	1944	88	6226	65	219
