Software Version,2.09.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Biotek2\Box\biocircuits\Ankita\20201019_atpassaycalibration.xpt,,,,,,,,,,,,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Biotek2\Box\biocircuits\Miki.Yun\MY_ gfp_485_515_091117_ protocol.prt,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,,,,,,,,,,,,
Date,10/19/20,,,,,,,,,,,,,,,,,,,,,,,,
Time,7:01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,,,,,,,,,,,,,
Reader Serial Number:,271275,,,,,,,,,,,,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,384 WELL PLATE,,,,,,,,,,,,,,,,,,,,,,,,
Well Selection,Runtime,,,,,,,,,,,,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,,,,,,,,,,,,
Set Temperature,Setpoint 29∞C,,,,,,,,,,,,,,,,,,,,,,,,
,Preheat before moving to next step,,,,,,,,,,,,,,,,,,,,,,,,
Start Kinetic,One read only,,,,,,,,,,,,,,,,,,,,,,,,
    Read,firefly luciferase,,,,,,,,,,,,,,,,,,,,,,,,
,Fluorescence Endpoint,,,,,,,,,,,,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,,,,,,,,,,,,
,"    Excitation: 350,  Emission: 560",,,,,,,,,,,,,,,,,,,,,,,,
,"    Optics: Bottom,  Gain: AutoScale",,,,,,,,,,,,,,,,,,,,,,,,
,Filter Set 2,,,,,,,,,,,,,,,,,,,,,,,,
,"    Excitation: 350,  Emission: 640",,,,,,,,,,,,,,,,,,,,,,,,
,"    Optics: Bottom,  Gain: AutoScale",,,,,,,,,,,,,,,,,,,,,,,,
,"Light Source: Xenon Flash,  Lamp Energy: High",,,,,,,,,,,,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,,,,,,,,,,,,,
,Read Height: 9.5 mm,,,,,,,,,,,,,,,,,,,,,,,,
End Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,SPL1,SPL9,SPL17,SPL25,,,,,,,,,,,,,,,,,,,,,Well ID
B,SPL2,SPL10,SPL18,SPL26,,,,,,,,,,,,,,,,,,,,,Well ID
C,SPL3,SPL11,SPL19,SPL27,,,,,,,,,,,,,,,,,,,,,Well ID
D,SPL4,SPL12,SPL20,SPL28,,,,,,,,,,,,,,,,,,,,,Well ID
E,SPL5,SPL13,SPL21,SPL29,,,,,,,,,,,,,,,,,,,,,Well ID
F,SPL6,SPL14,SPL22,SPL30,,,,,,,,,,,,,,,,,,,,,Well ID
G,SPL7,SPL15,SPL23,SPL31,,,,,,,,,,,,,,,,,,,,,Well ID
H,SPL8,SPL16,SPL24,SPL32,,,,,,,,,,,,,,,,,,,,,Well ID
I,,,,,,,,,,,,,,,,,,,,,,,,,Well ID
J,,,,,,,,,,,,,,,,,,,,,,,,,Well ID
K,,,,,,,,,,,,,,,,,,,,,,,,,Well ID
L,,,,,,,,,,,,,,,,,,,,,,,,,Well ID
M,,,,,,,,,,,,,,,,,,,,,,,,,Well ID
N,,,,,,,,,,,,,,,,,,,,,,,,,Well ID
O,,,,,,,,,,,,,,,,,,,,,,,,,Well ID
P,,,,,,,,,,,,,,,,,,,,,,,,,Well ID
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Temperature:,29.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Temperature:,29.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,42147,45006,45451,45314,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,46184,49398,48813,50025,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
B,42702,43944,44287,45748,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,46350,48343,49629,48864,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
C,43194,43573,45009,44572,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,48251,48702,49174,48023,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
D,44643,43853,45405,44909,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,49364,48291,49230,49064,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
E,43729,44261,44764,44759,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,48830,48408,49240,48814,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
F,43973,44858,45151,44073,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,49589,48396,49702,49375,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
G,43278,44223,12,12,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,48885,50099,27,0,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
H,44395,43246,6,9,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,49168,48314,37,21,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
I,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
J,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
K,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
L,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
M,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
N,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
O,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
P,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,560"
,,,,,,,,,,,,,,,,,,,,,,,,,"firefly luciferase:350,640"
