

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201022_controls_gfp_24hr_3.xpt
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\gfp_24hr_protocol.prt



Plate Number	Plate 1
Date	10/22/2020
Time	5:21:31 PM
Reader Type:	Synergy H1
Reader Serial Number:	Unknown
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 34°C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:03:00, 481 Reads
    Read	gfp
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B												SPL1	SPL6	SPL11											Well ID
C												SPL2	SPL7	SPL12											Well ID
D												SPL3	SPL8	SPL13											Well ID
E												SPL4	SPL9	SPL14											Well ID
F												SPL5	SPL10	SPL15											Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

gfp:485,515

Time	T° gfp:485,515	B12	B13	B14	C12	C13	C14	D12	D13	D14	E12	E13	E14	F12	F13	F14
0:00:00	29.6	78	34	49	111	111	91	19	31	37	114	124	105	7	0	5
0:03:00	33.0	92	56	70	105	110	92	24	16	37	112	125	102	0	3	7
0:06:00	34.0	103	72	79	105	105	90	18	12	28	118	125	106	15	4	5
0:09:00	34.0	122	81	95	104	111	90	22	13	25	115	120	106	9	11	10
0:12:00	34.0	136	103	122	95	113	95	24	19	27	108	119	107	8	6	8
0:15:00	34.0	164	131	141	92	105	81	23	20	32	108	116	91	6	4	0
0:18:00	34.0	201	142	171	105	113	92	28	21	13	103	112	107	5	4	0
0:21:00	34.0	233	180	216	100	106	89	12	22	18	118	113	101	8	6	8
0:24:00	34.0	277	208	244	102	108	98	14	23	27	114	112	97	5	1	4
0:27:00	34.0	309	250	284	101	104	85	19	17	25	108	113	112	7	7	11
0:30:00	34.0	366	302	341	96	103	91	19	25	32	112	108	98	3	3	3
0:33:00	34.0	417	341	392	98	101	77	17	23	18	108	114	110	0	11	12
0:36:00	34.0	461	383	432	113	104	90	19	19	30	110	114	99	7	0	7
0:39:00	34.0	532	429	474	98	110	78	13	13	21	113	109	102	11	0	0
0:42:00	34.0	580	476	524	97	113	89	19	17	30	113	117	96	14	0	8
0:45:00	34.0	645	513	590	93	106	93	30	18	29	103	121	93	5	8	3
0:48:00	34.0	703	571	626	97	107	90	17	24	24	109	111	103	5	9	8
0:51:00	34.0	792	599	682	100	104	97	31	18	28	126	119	97	10	9	15
0:54:00	34.0	850	647	741	94	114	86	26	19	29	112	114	101	15	3	6
0:57:00	34.1	897	700	782	78	103	88	30	17	27	115	112	98	2	8	8
1:00:00	34.0	958	749	845	97	107	85	29	28	24	113	112	96	3	5	10
1:03:00	34.0	1025	810	874	101	111	89	32	17	32	112	105	99	0	6	0
1:06:00	34.0	1086	860	957	100	105	85	28	22	32	105	112	102	11	2	7
1:09:00	34.0	1168	890	983	100	107	83	29	24	39	115	112	100	1	5	5
1:12:00	34.0	1228	937	1039	94	102	85	40	26	33	117	116	124	8	5	5
1:15:00	34.0	1286	975	1100	101	115	87	31	30	38	113	106	103	10	4	9
1:18:00	34.0	1368	1030	1149	104	112	89	34	27	20	128	112	101	13	3	3
1:21:00	34.0	1406	1073	1179	107	112	85	32	24	36	115	116	102	10	8	12
1:24:00	34.0	1477	1110	1265	107	115	86	40	35	34	119	116	106	9	4	4
1:27:00	34.0	1550	1166	1306	108	116	87	45	37	39	112	110	102	8	12	7
1:30:00	34.0	1577	1214	1360	99	105	88	44	36	43	106	102	90	10	16	5
1:33:00	34.0	1645	1257	1407	111	102	97	48	31	43	115	127	104	8	16	11
1:36:00	34.0	1748	1258	1431	101	105	92	49	29	33	113	108	102	5	9	6
1:39:00	34.0	1769	1350	1497	103	114	84	46	47	37	125	117	108	7	9	6
1:42:00	34.0	1852	1363	1536	103	112	80	42	37	27	111	109	99	4	7	15
1:45:00	34.0	1862	1389	1580	111	102	95	56	31	36	109	112	102	6	9	0
1:48:00	34.0	1926	1495	1622	102	113	93	49	46	41	117	112	101	11	8	7
1:51:00	34.0	1985	1520	1639	104	107	86	47	49	44	113	114	106	6	8	10
1:54:00	34.0	2038	1558	1701	105	115	85	51	42	39	111	118	101	3	12	0
1:57:00	34.0	2077	1551	1735	102	107	89	56	38	35	122	123	110	9	4	3
2:00:00	34.0	2158	1632	1798	103	115	90	54	49	50	116	115	103	3	5	4
2:03:00	34.0	2250	1691	1821	103	113	88	54	35	52	115	115	91	3	5	4
2:06:00	34.0	2229	1684	1878	103	121	88	60	42	40	118	123	106	10	8	8
2:09:00	34.0	2299	1746	1899	95	110	91	60	42	49	123	117	105	6	3	11
2:12:00	34.0	2340	1749	1988	92	110	83	58	48	54	116	110	111	12	6	10
2:15:00	34.0	2382	1816	1994	106	113	88	50	46	50	119	115	105	8	15	7
2:18:00	34.0	2388	1854	2054	110	109	88	52	43	51	119	116	103	1	4	12
2:21:00	34.0	2412	1893	2071	115	101	93	57	43	47	114	116	95	8	5	10
2:24:00	34.0	2534	1920	2142	112	114	91	61	54	53	119	119	106	8	14	8
2:27:00	34.0	2531	1977	2148	108	122	83	64	56	52	114	137	110	5	5	12
2:30:00	34.0	2592	2017	2173	106	108	79	60	39	53	116	116	113	7	10	5
2:33:00	34.0	2627	2046	2231	107	117	92	64	49	48	121	108	108	9	5	2
2:36:00	34.0	2675	2112	2249	109	110	88	60	55	49	121	114	102	7	9	4
2:39:00	34.0	2697	2139	2254	99	118	95	57	49	49	119	118	107	6	8	11
2:42:00	34.0	2719	2150	2285	104	113	90	66	53	46	117	127	110	2	12	13
2:45:00	34.0	2808	2206	2305	109	119	83	61	57	48	117	121	105	4	4	6
2:48:00	34.0	2830	2210	2361	104	124	92	71	53	43	129	113	113	8	3	18
2:51:00	34.0	2833	2271	2390	92	103	84	68	46	49	121	116	115	7	6	6
2:54:00	34.0	2857	2282	2412	105	111	90	68	55	60	122	113	104	9	5	1
2:57:00	34.0	2891	2326	2447	104	115	90	67	58	51	114	123	103	5	4	6
3:00:00	34.0	2964	2338	2507	102	114	86	68	56	47	110	121	113	5	0	5
3:03:00	34.0	2894	2380	2517	102	116	93	67	55	49	116	113	112	4	3	9
3:06:00	34.0	2942	2421	2515	108	120	88	70	54	50	120	117	113	3	9	4
3:09:00	34.0	2968	2449	2599	105	118	83	70	54	55	117	120	108	4	9	5
3:12:00	34.0	3058	2442	2591	106	115	94	72	55	58	123	120	118	2	20	10
3:15:00	34.0	3010	2462	2576	99	113	85	73	58	49	122	119	102	3	16	11
3:18:00	34.0	3056	2472	2659	111	114	98	75	57	56	115	124	107	4	9	5
3:21:00	34.0	3046	2528	2619	114	114	95	76	59	53	116	117	112	6	5	5
3:24:00	34.0	3099	2573	2632	105	119	100	74	59	59	118	127	109	4	9	10
3:27:00	34.0	3150	2549	2739	104	116	92	73	63	51	123	114	108	11	6	6
3:30:00	34.0	3152	2617	2736	110	116	96	77	50	63	116	118	109	5	11	13
3:33:00	34.0	3105	2624	2747	105	112	93	82	64	57	123	124	100	3	6	10
3:36:00	34.0	3181	2664	2758	119	117	90	81	59	62	114	121	107	24	6	0
3:39:00	34.0	3203	2698	2750	107	115	91	84	59	57	119	123	110	0	15	7
3:42:00	34.0	3220	2654	2799	111	110	96	74	56	58	122	121	108	8	12	0
3:45:00	34.0	3251	2760	2817	100	117	89	82	63	63	124	124	109	9	7	1
3:48:00	34.0	3200	2722	2872	104	117	94	76	70	61	122	122	117	10	3	0
3:51:00	34.0	3289	2733	2803	111	113	100	79	62	66	123	118	120	7	4	3
3:54:00	34.0	3302	2797	2902	113	122	93	87	59	63	122	124	109	6	6	8
3:57:00	34.0	3261	2822	2864	112	122	89	85	69	62	120	121	109	5	2	6
4:00:00	34.0	3308	2807	2859	122	113	102	77	61	66	126	125	106	12	4	6
4:03:00	34.0	3308	2851	2852	107	124	91	91	61	68	118	119	110	11	3	7
4:06:00	34.0	3303	2895	2843	102	121	86	81	64	72	119	127	109	8	12	4
4:09:00	34.0	3416	2865	2924	107	113	94	81	71	60	121	117	106	6	4	4
4:12:00	34.0	3334	2832	2935	112	133	92	77	66	66	121	125	107	0	7	1
4:15:00	34.0	3332	2929	2970	109	119	89	75	65	74	124	128	106	7	7	16
4:18:00	34.0	3328	2965	2948	106	116	96	83	68	61	126	116	107	3	21	8
4:21:00	34.0	3378	2911	3034	109	117	95	88	70	66	118	126	110	18	5	3
4:24:00	34.0	3430	2913	3011	105	116	95	89	67	63	121	122	112	9	5	6
4:27:00	34.0	3364	3011	2999	114	113	95	83	69	72	124	128	103	14	1	11
4:30:00	34.0	3420	2981	3015	108	110	92	92	64	67	124	124	108	4	4	5
4:33:00	34.0	3340	2991	3025	115	125	95	82	63	73	129	123	117	10	10	10
4:36:00	34.0	3398	3026	3022	119	120	97	92	68	74	122	123	107	7	11	0
4:39:00	34.0	3437	3021	3027	113	117	96	88	67	67	137	125	109	0	3	14
4:42:00	34.0	3399	2977	3014	122	118	97	92	64	73	125	124	110	6	9	0
4:45:00	34.0	3504	3038	3070	113	106	98	98	69	79	123	124	110	15	5	21
4:48:00	34.0	3462	3093	3021	106	120	86	94	69	76	129	117	117	11	8	5
4:51:00	34.0	3474	3081	3076	115	116	88	95	77	70	122	129	113	7	10	9
4:54:00	34.0	3513	3069	3113	107	117	92	90	65	82	119	123	112	16	13	10
4:57:00	34.0	3524	3109	3141	121	122	97	97	70	79	124	119	110	8	5	5
5:00:00	34.0	3470	3132	3113	109	117	96	91	74	82	127	120	110	10	12	4
5:03:00	34.0	3496	3085	3080	119	120	93	91	69	76	125	120	106	4	7	12
5:06:00	34.0	3529	3083	3193	123	124	94	89	65	78	128	119	111	5	7	6
5:09:00	34.1	3476	3090	3148	112	115	97	93	74	83	137	125	115	4	1	8
5:12:00	34.0	3569	3108	3115	110	126	93	94	78	81	127	116	109	4	12	3
5:15:00	34.0	3582	3133	3154	112	127	107	93	74	80	125	129	106	11	0	12
5:18:00	34.0	3512	3206	3116	115	119	96	101	77	86	129	120	113	17	13	11
5:21:00	34.0	3614	3192	3140	114	122	90	98	69	83	124	122	109	0	11	9
5:24:00	34.0	3504	3214	3159	111	116	97	93	76	92	125	129	123	4	12	3
5:27:00	34.0	3469	3144	3102	119	125	94	97	76	86	129	125	114	6	8	9
5:30:00	34.0	3587	3173	3178	119	128	97	96	68	88	125	117	106	0	13	13
5:33:00	34.0	3625	3229	3291	112	118	94	97	77	97	131	122	113	3	6	10
5:36:00	34.0	3571	3208	3198	107	132	100	99	75	89	118	115	109	4	3	5
5:39:00	34.0	3638	3245	3189	114	126	100	100	81	88	126	122	114	2	1	2
5:42:00	34.0	3517	3208	3185	115	123	101	101	72	84	125	120	114	11	12	2
5:45:00	34.0	3707	3275	3232	122	117	98	105	74	81	126	116	113	11	0	10
5:48:00	34.0	3648	3229	3255	126	121	89	98	76	94	133	115	113	9	10	4
5:51:00	34.0	3616	3279	3240	112	119	94	101	71	90	129	120	119	10	6	3
5:54:00	34.0	3612	3240	3239	108	122	98	105	82	86	136	122	109	7	11	5
5:57:00	34.0	3615	3350	3259	109	124	97	99	76	92	131	111	111	7	9	7
6:00:00	34.0	3654	3257	3285	116	128	97	107	83	93	129	119	116	3	3	3
6:03:00	34.0	3661	3326	3235	117	123	90	103	74	92	127	120	115	8	4	9
6:06:00	34.0	3728	3282	3334	124	122	104	100	82	92	130	127	118	8	2	16
6:09:00	34.0	3725	3346	3336	118	129	100	113	85	83	123	121	106	0	7	7
6:12:00	34.0	3616	3331	3338	117	120	100	106	83	93	126	115	115	15	7	7
6:15:00	34.0	3655	3336	3282	113	112	102	104	82	93	121	115	108	6	6	9
6:18:00	34.0	3676	3325	3348	115	125	100	108	77	103	133	124	111	7	8	1
6:21:00	34.0	3699	3335	3326	124	125	87	102	83	95	124	120	108	3	2	1
6:24:00	34.0	3700	3317	3330	117	129	91	102	74	94	122	117	106	11	5	7
6:27:00	34.0	3654	3334	3370	110	127	102	109	84	96	129	125	118	8	4	6
6:30:00	34.0	3722	3379	3346	109	123	96	115	84	99	139	126	109	6	10	2
6:33:00	34.0	3708	3363	3382	110	126	95	111	77	97	132	126	119	2	7	4
6:36:00	34.0	3627	3352	3395	115	122	108	109	88	90	122	120	116	12	11	9
6:39:00	34.0	3689	3471	3356	115	120	98	110	82	92	125	118	124	6	7	5
6:42:00	34.0	3706	3422	3351	119	132	94	111	82	98	123	121	109	8	10	8
6:45:00	34.0	3741	3375	3319	112	123	97	81	85	95	123	122	111	6	4	2
6:48:00	34.0	3727	3371	3398	117	123	90	109	86	95	129	120	115	4	3	10
6:51:00	34.0	3756	3440	3380	114	130	96	110	92	99	127	122	117	5	10	10
6:54:00	34.0	3729	3474	3288	124	133	107	111	86	96	130	121	117	11	7	0
6:57:00	34.0	3609	3474	3360	121	133	101	116	79	102	134	114	125	10	7	7
7:00:00	34.0	3708	3436	3415	117	125	97	108	95	98	126	115	117	7	4	7
7:03:00	34.1	3792	3473	3419	117	126	88	116	86	105	131	121	118	3	8	5
7:06:00	34.0	3766	3430	3425	111	129	86	116	83	99	133	118	122	7	5	10
7:09:00	34.0	3796	3457	3310	118	126	95	116	83	96	131	131	105	0	7	12
7:12:00	34.0	3788	3386	3457	114	123	100	114	91	94	121	122	113	7	11	0
7:15:00	34.0	3761	3448	3412	117	126	99	122	95	105	127	125	123	2	4	3
7:18:00	34.0	3795	3554	3374	114	127	106	111	89	113	122	126	105	1	4	5
7:21:00	34.0	3799	3563	3403	121	133	104	125	92	103	128	116	115	13	5	5
7:24:00	34.0	3796	3534	3402	119	132	103	109	90	106	133	123	108	2	1	10
7:27:00	34.0	3774	3510	3431	120	128	101	127	97	101	127	126	111	6	7	4
7:30:00	34.0	3752	3483	3482	117	131	98	123	95	109	125	120	116	11	0	5
7:33:00	34.0	3801	3439	3442	116	125	97	124	96	112	131	123	116	6	2	2
7:36:00	34.0	3799	3485	3481	115	131	101	124	88	102	138	114	107	7	3	5
7:39:00	34.0	3813	3457	3457	119	128	96	117	92	110	128	126	113	7	5	0
7:42:00	34.0	3878	3582	3421	117	131	102	124	94	109	132	122	118	2	9	0
7:45:00	34.0	3750	3468	3504	118	123	101	115	98	109	130	125	115	6	11	8
7:48:00	34.0	3835	3614	3446	119	129	100	123	97	109	124	126	118	9	7	6
7:51:00	34.0	3847	3526	3506	116	125	101	130	103	98	132	118	108	8	2	7
