

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201103_gfp_atpbeg_timeseries.xpt
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\gfp_24hr_protocol.prt



Plate Number	Plate 1
Date	11/3/2020
Time	7:27:40 PM
Reader Type:	Synergy H1
Reader Serial Number:	271275
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 34°C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:03:00, 481 Reads
    Read	gfp
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C																									Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																						SPL1	SPL6	SPL11	Well ID
M																						SPL2	SPL7	SPL12	Well ID
N																						SPL3	SPL8	SPL13	Well ID
O																						SPL4	SPL9	SPL14	Well ID
P																						SPL5	SPL10	SPL15	Well ID

gfp:485,515

Time	T° gfp:485,515	L22	L23	L24	M22	M23	M24	N22	N23	N24	O22	O23	O24	P22	P23	P24
0:00:00	27.0	61	62	62	74	76	77	70	72	65	54	83	78	68	29	19
0:03:00	30.6	57	64	71	76	62	85	67	64	61	67	73	60	54	28	22
0:06:00	33.4	54	60	61	73	71	72	67	61	68	57	69	61	56	24	26
0:09:00	34.0	59	63	54	68	59	65	70	57	58	60	78	69	44	30	20
0:12:00	34.0	59	61	67	53	65	61	62	48	62	58	72	64	50	29	18
0:15:00	34.0	61	67	55	36	59	55	48	58	61	52	60	59	22	20	15
0:18:00	34.0	69	63	62	36	49	50	45	51	40	51	74	64	23	19	15
0:21:00	34.0	84	80	88	18	45	50	52	36	52	84	105	102	24	15	16
0:24:00	34.0	152	130	141	30	36	31	89	69	78	116	139	157	29	21	14
0:27:00	34.0	216	184	196	11	30	27	109	87	95	156	192	207	29	23	17
0:30:00	34.0	278	234	245	2	18	15	132	99	116	203	229	269	29	27	15
0:33:00	34.0	340	290	304	17	18	15	147	120	141	233	279	308	26	19	4
0:36:00	34.0	382	364	366	14	19	20	180	132	166	284	330	350	21	18	19
0:39:00	34.0	470	440	427	11	17	18	215	156	180	307	372	411	18	17	9
0:42:00	34.0	510	501	487	15	16	14	250	173	212	369	436	457	25	21	11
0:45:00	34.0	584	573	515	18	17	18	274	193	247	407	484	525	26	16	11
0:48:00	34.0	644	677	588	12	15	19	316	218	278	448	550	575	24	19	15
0:51:00	34.0	725	749	641	12	15	17	353	256	302	513	600	648	34	18	8
0:54:00	34.0	784	828	691	19	16	13	395	275	348	570	648	696	28	19	7
0:57:00	34.0	832	894	747	15	10	16	435	304	391	611	727	750	26	24	7
1:00:00	34.0	894	978	787	24	21	15	486	341	419	643	775	827	28	8	9
