

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201107_exp13_gfp_post_spike.xpt
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\gfp_24hr_protocol.prt



Plate Number	Plate 1
Date	11/7/2020
Time	7:09:40 AM
Reader Type:	Synergy H1
Reader Serial Number:	271275
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 34°C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:03:00, 481 Reads
    Read	gfp
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	SPL1	SPL10																							Well ID
B	SPL2	SPL11																							Well ID
C	SPL3	SPL12																							Well ID
D	SPL4	SPL13																							Well ID
E	SPL5	SPL14																							Well ID
F	SPL6	SPL15																							Well ID
G	SPL7	SPL16																							Well ID
H	SPL8	SPL17																							Well ID
I	SPL9	SPL18																							Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

gfp:485,515

Time	T° gfp:485,515	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	I1	I2
0:00:00	34.0	5263	5154	184	182	3921	4506	5310	4652	53	48	3940	4571	8496	8253	3102	3408	585	573
0:03:00	34.0	5153	4909	192	188	3875	4320	5242	4598	59	51	3919	4394	8343	8115	3076	3439	573	549
0:06:00	34.0	4974	4892	169	175	3777	4221	5095	4508	56	52	3810	4284	8149	7789	2898	3290	544	528
0:09:00	34.0	4865	4820	167	160	3691	4061	5039	4417	58	51	3698	4185	7969	7588	2856	3247	536	525
0:12:00	34.0	4920	4696	150	143	3673	4152	4924	4391	59	38	3623	4250	7916	7516	2818	3131	533	510
0:15:00	34.0	4848	4595	138	144	3649	4130	4961	4293	50	47	3604	4134	7927	7477	2813	3110	524	509
0:18:00	34.0	4855	4471	147	145	3543	4147	4965	4347	51	48	3610	4160	7770	7382	2789	3159	519	509
0:21:00	34.0	4724	4575	136	141	3613	4147	4838	4236	46	54	3635	4082	7595	7311	2778	3119	514	494
0:24:00	34.0	4719	4543	133	132	3583	3991	4833	4183	46	39	3607	4152	7777	7324	2783	3120	507	500
0:27:00	34.0	4599	4513	138	131	3550	4059	4833	4056	42	41	3609	4087	7616	7171	2795	3114	502	490
0:30:00	34.0	4776	4431	136	136	3552	3949	4774	4125	45	38	3633	4134	7511	7206	2783	3106	512	503
0:33:00	34.0	4669	4536	137	135	3492	4062	4757	4137	46	35	3572	4053	7668	7071	2735	3077	505	491
0:36:00	34.0	4643	4471	144	137	3491	3954	4737	4123	43	41	3487	4083	7430	7234	2771	3046	504	486
0:39:00	34.0	4621	4419	141	136	3508	4016	4795	4073	42	46	3507	4068	7548	7258	2774	3033	496	491
0:42:00	34.0	4771	4404	135	137	3489	4034	4762	4090	57	41	3552	4025	7406	7174	2772	3080	491	486
0:45:00	34.0	4599	4532	141	131	3403	3947	4770	4215	47	43	3505	4011	7587	7274	2701	3068	494	488
0:48:00	34.0	4604	4473	136	143	3484	4037	4676	4181	48	38	3467	4121	7549	7241	2717	3042	500	488
0:51:00	34.0	4653	4457	132	123	3555	3926	4702	4097	47	49	3482	3970	7603	7191	2788	3052	496	487
0:54:00	34.0	4711	4412	141	149	3435	3964	4717	4109	43	43	3384	4053	7446	7162	2759	3107	492	481
0:57:00	34.0	4659	4327	131	130	3485	4001	4695	4064	46	39	3462	4035	7568	7162	2753	3052	495	467
1:00:00	34.0	4598	4454	134	140	3480	3934	4745	4058	44	42	3520	4025	7614	7185	2814	3035	490	484
1:03:00	34.0	4692	4383	133	135	3431	3933	4610	4048	45	42	3445	4052	7628	7280	2715	3087	501	495
1:06:00	34.0	4710	4458	142	136	3493	3972	4647	4038	46	41	3447	3935	7360	7282	2729	3066	506	487
1:09:00	34.0	4475	4347	140	133	3453	3941	4699	4131	44	37	3498	4116	7424	7151	2737	3092	497	471
