Software Version	3.04.17																																						
																																							
																																							
																																							
Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201115_exp14_gfp_prespike.xpt																																						
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\gfp_24hr_protocol.prt																																						
																																							
																																							
																																							
Plate Number	Plate 2																																						
Date	11/16/20																																						
Time	10:30:18 PM																																						
Reader Type:	Synergy H1																																						
Reader Serial Number:	271275																																						
Reading Type	Reader																																						
																																							
Procedure Details																																							
																																							
Plate Type	384 WELL PLATE																																						
Well Selection	Runtime																																						
Eject plate on completion																																							
Set Temperature	Setpoint 34°C																																						
	Preheat before moving to next step																																						
Start Kinetic	"Runtime 24:00:00 (HH:MM:SS), Interval 0:03:00, 481 Reads"																																						
    Read	gfp																																						
	Fluorescence Endpoint																																						
	Full Plate																																						
	Filter Set 1																																						
	"    Excitation: 485,  Emission: 515"																																						
	"    Optics: Bottom,  Gain: 61"																																						
	Filter Set 2																																						
	"    Excitation: 485,  Emission: 515"																																						
	"    Optics: Bottom,  Gain: 100"																																						
	"Light Source: Xenon Flash,  Lamp Energy: High"																																						
	"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10"																																						
	Read Height: 9.5 mm																																						
End Kinetic																																							
																																							
Layout																																							
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24															
A						SPL1	SPL5	SPL9	SPL13																Well ID														
B						SPL2	SPL6	SPL10	SPL14																Well ID														
C						SPL3	SPL7	SPL11	SPL15																Well ID														
D						SPL4	SPL8	SPL12	SPL16																Well ID														
E						SPL17	SPL18																		Well ID														
F																									Well ID														
G						SPL19	SPL20	SPL21	SPL22	SPL23	SPL24														Well ID														
H						SPL25	SPL28	SPL31	SPL34																Well ID														
I						SPL26	SPL29	SPL32	SPL35																Well ID														
J						SPL27	SPL30	SPL33	SPL36																Well ID														
K						SPL37	SPL38																		Well ID														
L																									Well ID														
M																									Well ID														
N																									Well ID														
O																									Well ID														
P																									Well ID														
																																							
"gfp:485,515"																																							
																																							
Time	"T° gfp:485,515"	A6	A7	A8	A9	B6	B7	B8	B9	C6	C7	C8	C9	D6	D7	D8	D9	E6	E7	G6	G7	G8	G9	G10	G11	H6	H7	H8	H9	I6	I7	I8	I9	J6	J7	J8	J9	K6	K7
0:00:00	34.1	3098	152	38	43	2420	1348	4365	3340	32	35	3273	2609	6043	6435	1751	1873	1013	1787	3985	3797	2033	543	53	59	34	3634	2308	3749	4830	4507	3743	4422	2448	4165	1329	193	4904	4044
0:03:00	34.1	3021	144	39	45	2291	1342	4230	3250	39	40	3265	2587	5954	6324	1753	1863	1025	1767	3947	3760	1925	545	53	61	36	3666	2277	3813	4756	4471	3716	4402	2446	4184	1322	201	4891	4072
0:06:00	34	2912	140	42	44	2330	1300	4135	3130	26	18	3151	2562	5816	6146	1718	1848	983	1729	3848	3710	1912	527	54	57	31	3677	2259	3685	4810	4411	3658	4370	2429	4054	1298	187	4697	4016
