Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,0,0.0,A6,40,AFU,485,515,gfp61485515
gfp,61,0,0.0,A7,43,AFU,485,515,gfp61485515
gfp,61,0,0.0,A8,46,AFU,485,515,gfp61485515
gfp,61,0,0.0,A9,24,AFU,485,515,gfp61485515
gfp,61,0,0.0,B6,27,AFU,485,515,gfp61485515
gfp,61,0,0.0,B7,36,AFU,485,515,gfp61485515
gfp,61,0,0.0,B8,39,AFU,485,515,gfp61485515
gfp,61,0,0.0,B9,35,AFU,485,515,gfp61485515
gfp,61,0,0.0,C6,46,AFU,485,515,gfp61485515
gfp,61,0,0.0,C7,59,AFU,485,515,gfp61485515
gfp,61,0,0.0,C8,34,AFU,485,515,gfp61485515
gfp,61,0,0.0,C9,37,AFU,485,515,gfp61485515
gfp,61,0,0.0,D6,30,AFU,485,515,gfp61485515
gfp,61,0,0.0,D7,32,AFU,485,515,gfp61485515
gfp,61,0,0.0,D8,58,AFU,485,515,gfp61485515
gfp,61,0,0.0,D9,40,AFU,485,515,gfp61485515
gfp,61,0,0.0,E6,38,AFU,485,515,gfp61485515
gfp,61,0,0.0,E7,50,AFU,485,515,gfp61485515
gfp,61,0,0.0,G6,36,AFU,485,515,gfp61485515
gfp,61,0,0.0,G7,40,AFU,485,515,gfp61485515
gfp,61,0,0.0,G8,51,AFU,485,515,gfp61485515
gfp,61,0,0.0,G9,55,AFU,485,515,gfp61485515
gfp,61,0,0.0,G10,48,AFU,485,515,gfp61485515
gfp,61,0,0.0,G11,41,AFU,485,515,gfp61485515
gfp,61,0,0.0,H6,17,AFU,485,515,gfp61485515
gfp,61,0,0.0,H7,57,AFU,485,515,gfp61485515
gfp,61,0,0.0,H8,64,AFU,485,515,gfp61485515
gfp,61,0,0.0,H9,57,AFU,485,515,gfp61485515
gfp,61,0,0.0,I6,33,AFU,485,515,gfp61485515
gfp,61,0,0.0,I7,43,AFU,485,515,gfp61485515
gfp,61,0,0.0,I8,26,AFU,485,515,gfp61485515
gfp,61,0,0.0,I9,28,AFU,485,515,gfp61485515
gfp,61,0,0.0,J6,37,AFU,485,515,gfp61485515
