

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek4\Box\biocircuits\Ankita\20201222_exp25_htps.xpt
Protocol File Path:	C:\Users\Biotek4\Box\biocircuits\Ankita\gfp_24hr_protocol.prt



Plate Number	Plate 1
Date	12/22/2020
Time	12:55:23 PM
Reader Type:	Synergy H1
Reader Serial Number:	18060417
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 34°C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:03:00, 481 Reads
    Read	gfp
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C																									Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P	SPL1	SPL2																							Well ID

gfp:485,515

Time	T° gfp:485,515	P1	P2
0:00:00	27.1	25	11
0:03:00	30.7	34	19
0:06:00	33.4	25	15
0:09:00	33.9	34	14
0:12:00	34.0	23	12
0:15:00	34.0	29	11
0:18:00	33.9	35	21
0:21:00	34.0	25	15
0:24:00	34.0	18	19
0:27:00	34.0	30	19
0:30:00	34.0	29	23
0:33:00	34.0	27	9
0:36:00	34.0	27	23
0:39:00	34.0	34	18
0:42:00	34.0	26	14
0:45:00	34.0	30	22
0:48:00	34.0	34	16
0:51:00	34.0	34	12
0:54:00	34.0	26	13
0:57:00	34.0	25	19
1:00:00	34.0	29	21
1:03:00	34.0	21	15
1:06:00	34.0	29	16
1:09:00	34.0	29	20
1:12:00	34.0	28	24
1:15:00	34.0	25	12
1:18:00	34.0	26	19
1:21:00	34.0	27	20
1:24:00	34.0	23	18
1:27:00	34.0	33	18
1:30:00	34.0	33	28
1:33:00	34.0	22	13
1:36:00	34.0	28	19
1:39:00	34.0	31	15
1:42:00	33.9	32	15
1:45:00	34.0	28	20
1:48:00	34.0	29	20
1:51:00	34.0	37	19
1:54:00	34.0	28	17
1:57:00	34.0	29	21
2:00:00	34.0	31	19
2:03:00	34.0	24	20
2:06:00	34.0	28	16
2:09:00	34.0	24	19
2:12:00	34.0	33	16
2:15:00	34.0	23	18
2:18:00	34.0	27	16
2:21:00	34.0	32	16
2:24:00	34.0	27	26
2:27:00	34.0	34	16
2:30:00	34.0	31	10
2:33:00	34.0	28	9
2:36:00	34.0	29	12
2:39:00	34.0	32	16
2:42:00	34.0	24	18
2:45:00	34.0	27	12
2:48:00	34.0	27	23
2:51:00	34.0	31	19
2:54:00	34.0	32	9
2:57:00	34.0	33	16
3:00:00	34.1	30	18
3:03:00	34.0	28	21
3:06:00	34.0	31	23
3:09:00	34.1	34	14
3:12:00	34.0	28	17
3:15:00	34.1	34	15
3:18:00	34.0	29	13
3:21:00	34.0	32	20
3:24:00	34.0	29	19
3:27:00	34.0	21	19
3:30:00	34.1	28	21
3:33:00	34.0	31	15
3:36:00	34.0	26	25
3:39:00	34.1	27	18
3:42:00	34.0	32	21
3:45:00	34.0	23	18
3:48:00	34.1	24	18
3:51:00	34.0	28	24
3:54:00	34.0	35	24
3:57:00	34.1	27	16
4:00:00	34.0	23	19
4:03:00	34.1	22	23
4:06:00	34.0	32	16
4:09:00	34.0	33	21
4:12:00	34.0	30	24
4:15:00	34.0	29	14
4:18:00	34.0	29	21
4:21:00	34.0	26	30
4:24:00	34.0	25	23
4:27:00	34.0	33	12
4:30:00	34.0	25	22
4:33:00	34.0	23	13
4:36:00	34.0	30	17
4:39:00	34.0	32	18
4:42:00	34.0	32	18
4:45:00	34.0	27	25
4:48:00	34.0	23	20
4:51:00	34.0	27	19
4:54:00	34.0	24	14
4:57:00	34.0	23	16
5:00:00	34.0	26	13
5:03:00	34.1	30	26
5:06:00	34.0	32	9
5:09:00	34.0	34	25
5:12:00	34.1	28	19
5:15:00	34.0	25	11
5:18:00	34.0	29	12
5:21:00	34.0	30	14
5:24:00	34.0	26	18
5:27:00	34.0	28	17
5:30:00	34.0	27	17
5:33:00	34.0	22	19
5:36:00	34.0	24	14
5:39:00	34.0	34	17
5:42:00	34.0	22	13
5:45:00	34.0	32	15
5:48:00	34.0	26	22
5:51:00	34.1	34	15
5:54:00	34.0	30	15
5:57:00	34.0	30	18
6:00:00	34.0	27	16
6:03:00	34.0	28	22
6:06:00	34.0	22	14
6:09:00	34.0	31	12
6:12:00	34.0	29	16
6:15:00	34.1	30	11
6:18:00	34.0	30	11
6:21:00	34.0	29	11
6:24:00	34.0	32	20
6:27:00	34.0	33	21
6:30:00	34.0	26	12
6:33:00	34.0	35	22
6:36:00	34.0	24	13
6:39:00	34.0	32	12
6:42:00	34.0	32	16
6:45:00	34.0	28	17
6:48:00	34.0	26	17
6:51:00	34.0	21	18
6:54:00	34.0	23	19
6:57:00	34.1	26	22
7:00:00	34.0	20	23
7:03:00	34.0	24	26
7:06:00	34.0	30	16
7:09:00	34.0	29	20
7:12:00	34.0	25	19
7:15:00	34.0	22	19
7:18:00	34.0	33	18
7:21:00	34.0	23	19
7:24:00	34.0	29	18
7:27:00	34.0	35	17
7:30:00	34.0	28	11
7:33:00	34.0	24	24
7:36:00	34.0	24	14
7:39:00	34.0	28	24
7:42:00	34.0	34	17
7:45:00	34.0	26	22
7:48:00	34.0	34	15
7:51:00	34.1	27	22
7:54:00	34.0	26	10
7:57:00	34.0	25	21
8:00:00	34.0	33	16
8:03:00	34.0	29	17
8:06:00	34.0	30	15
8:09:00	34.0	30	20
8:12:00	34.0	22	21
8:15:00	34.0	36	20
8:18:00	34.0	22	28
8:21:00	34.0	28	19
8:24:00	34.0	32	21
8:27:00	34.0	24	20
8:30:00	34.1	31	16
8:33:00	34.0	25	17
8:36:00	34.0	26	20
8:39:00	34.0	37	26
8:42:00	34.0	27	20
8:45:00	34.0	26	18
8:48:00	34.0	38	20
8:51:00	34.0	40	15
8:54:00	34.0	26	22
8:57:00	34.0	28	21
9:00:00	34.0	28	16
9:03:00	34.0	26	20
9:06:00	34.0	34	11
9:09:00	34.0	34	19
9:12:00	34.0	25	18
9:15:00	34.0	26	12
9:18:00	34.0	25	13
9:21:00	34.0	26	22
9:24:00	34.0	27	16
9:27:00	34.1	35	19
9:30:00	34.0	26	18
9:33:00	34.0	29	19
9:36:00	34.0	21	22
9:39:00	34.0	29	13
9:42:00	34.0	25	18
9:45:00	34.0	15	17
9:48:00	34.0	27	11
9:51:00	34.0	31	22
9:54:00	34.0	29	21
9:57:00	34.0	24	11
10:00:00	34.0	27	13
10:03:00	34.0	27	16
10:06:00	34.0	25	19
10:09:00	34.1	29	21
10:12:00	34.0	32	22
10:15:00	34.0	29	14
10:18:00	34.0	21	13
10:21:00	34.0	23	24
10:24:00	34.0	19	15
10:27:00	34.0	22	21
10:30:00	34.0	24	18
10:33:00	34.1	25	19
10:36:00	34.0	28	20
10:39:00	34.0	38	24
10:42:00	34.0	32	13
10:45:00	34.0	28	16
10:48:00	34.0	27	19
10:51:00	34.0	20	20
10:54:00	34.0	25	18
10:57:00	34.0	23	15
11:00:00	34.0	31	16
11:03:00	34.0	20	22
11:06:00	34.0	27	19
11:09:00	34.0	29	17
