Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,0,0.0,B12,78,AFU,485,515,gfp61485515
gfp,61,0,0.0,B13,34,AFU,485,515,gfp61485515
gfp,61,0,0.0,B14,49,AFU,485,515,gfp61485515
gfp,61,0,0.0,C12,111,AFU,485,515,gfp61485515
gfp,61,0,0.0,C13,111,AFU,485,515,gfp61485515
gfp,61,0,0.0,C14,91,AFU,485,515,gfp61485515
gfp,61,0,0.0,D12,19,AFU,485,515,gfp61485515
gfp,61,0,0.0,D13,31,AFU,485,515,gfp61485515
gfp,61,0,0.0,D14,37,AFU,485,515,gfp61485515
gfp,61,0,0.0,E12,114,AFU,485,515,gfp61485515
gfp,61,0,0.0,E13,124,AFU,485,515,gfp61485515
gfp,61,0,0.0,E14,105,AFU,485,515,gfp61485515
gfp,61,0,0.0,F12,7,AFU,485,515,gfp61485515
gfp,61,0,0.0,F13,0,AFU,485,515,gfp61485515
gfp,61,0,0.0,F14,5,AFU,485,515,gfp61485515
gfp,61,180,0.05,B12,92,AFU,485,515,gfp61485515
gfp,61,180,0.05,B13,56,AFU,485,515,gfp61485515
gfp,61,180,0.05,B14,70,AFU,485,515,gfp61485515
gfp,61,180,0.05,C12,105,AFU,485,515,gfp61485515
gfp,61,180,0.05,C13,110,AFU,485,515,gfp61485515
gfp,61,180,0.05,C14,92,AFU,485,515,gfp61485515
gfp,61,180,0.05,D12,24,AFU,485,515,gfp61485515
gfp,61,180,0.05,D13,16,AFU,485,515,gfp61485515
gfp,61,180,0.05,D14,37,AFU,485,515,gfp61485515
gfp,61,180,0.05,E12,112,AFU,485,515,gfp61485515
gfp,61,180,0.05,E13,125,AFU,485,515,gfp61485515
gfp,61,180,0.05,E14,102,AFU,485,515,gfp61485515
gfp,61,180,0.05,F12,0,AFU,485,515,gfp61485515
gfp,61,180,0.05,F13,3,AFU,485,515,gfp61485515
gfp,61,180,0.05,F14,7,AFU,485,515,gfp61485515
gfp,61,360,0.1,B12,103,AFU,485,515,gfp61485515
gfp,61,360,0.1,B13,72,AFU,485,515,gfp61485515
