Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,0,0.0,L22,61,AFU,485,515,gfp61485515
gfp,61,0,0.0,L23,62,AFU,485,515,gfp61485515
gfp,61,0,0.0,L24,62,AFU,485,515,gfp61485515
gfp,61,0,0.0,M22,74,AFU,485,515,gfp61485515
gfp,61,0,0.0,M23,76,AFU,485,515,gfp61485515
gfp,61,0,0.0,M24,77,AFU,485,515,gfp61485515
gfp,61,0,0.0,N22,70,AFU,485,515,gfp61485515
gfp,61,0,0.0,N23,72,AFU,485,515,gfp61485515
gfp,61,0,0.0,N24,65,AFU,485,515,gfp61485515
gfp,61,0,0.0,O22,54,AFU,485,515,gfp61485515
gfp,61,0,0.0,O23,83,AFU,485,515,gfp61485515
gfp,61,0,0.0,O24,78,AFU,485,515,gfp61485515
gfp,61,0,0.0,P22,68,AFU,485,515,gfp61485515
gfp,61,0,0.0,P23,29,AFU,485,515,gfp61485515
gfp,61,0,0.0,P24,19,AFU,485,515,gfp61485515
gfp,61,180,0.05,L22,57,AFU,485,515,gfp61485515
gfp,61,180,0.05,L23,64,AFU,485,515,gfp61485515
gfp,61,180,0.05,L24,71,AFU,485,515,gfp61485515
gfp,61,180,0.05,M22,76,AFU,485,515,gfp61485515
gfp,61,180,0.05,M23,62,AFU,485,515,gfp61485515
gfp,61,180,0.05,M24,85,AFU,485,515,gfp61485515
gfp,61,180,0.05,N22,67,AFU,485,515,gfp61485515
gfp,61,180,0.05,N23,64,AFU,485,515,gfp61485515
gfp,61,180,0.05,N24,61,AFU,485,515,gfp61485515
gfp,61,180,0.05,O22,67,AFU,485,515,gfp61485515
gfp,61,180,0.05,O23,73,AFU,485,515,gfp61485515
gfp,61,180,0.05,O24,60,AFU,485,515,gfp61485515
gfp,61,180,0.05,P22,54,AFU,485,515,gfp61485515
gfp,61,180,0.05,P23,28,AFU,485,515,gfp61485515
gfp,61,180,0.05,P24,22,AFU,485,515,gfp61485515
gfp,61,360,0.1,L22,54,AFU,485,515,gfp61485515
gfp,61,360,0.1,L23,60,AFU,485,515,gfp61485515
gfp,61,360,0.1,L24,61,AFU,485,515,gfp61485515
gfp,61,360,0.1,M22,73,AFU,485,515,gfp61485515
gfp,61,360,0.1,M23,71,AFU,485,515,gfp61485515
gfp,61,360,0.1,M24,72,AFU,485,515,gfp61485515
gfp,61,360,0.1,N22,67,AFU,485,515,gfp61485515
gfp,61,360,0.1,N23,61,AFU,485,515,gfp61485515
gfp,61,360,0.1,N24,68,AFU,485,515,gfp61485515
gfp,61,360,0.1,O22,57,AFU,485,515,gfp61485515
gfp,61,360,0.1,O23,69,AFU,485,515,gfp61485515
gfp,61,360,0.1,O24,61,AFU,485,515,gfp61485515
gfp,61,360,0.1,P22,56,AFU,485,515,gfp61485515
gfp,61,360,0.1,P23,24,AFU,485,515,gfp61485515
gfp,61,360,0.1,P24,26,AFU,485,515,gfp61485515
gfp,61,540,0.15,L22,59,AFU,485,515,gfp61485515
gfp,61,540,0.15,L23,63,AFU,485,515,gfp61485515
gfp,61,540,0.15,L24,54,AFU,485,515,gfp61485515
gfp,61,540,0.15,M22,68,AFU,485,515,gfp61485515
gfp,61,540,0.15,M23,59,AFU,485,515,gfp61485515
gfp,61,540,0.15,M24,65,AFU,485,515,gfp61485515
gfp,61,540,0.15,N22,70,AFU,485,515,gfp61485515
gfp,61,540,0.15,N23,57,AFU,485,515,gfp61485515
gfp,61,540,0.15,N24,58,AFU,485,515,gfp61485515
gfp,61,540,0.15,O22,60,AFU,485,515,gfp61485515
gfp,61,540,0.15,O23,78,AFU,485,515,gfp61485515
gfp,61,540,0.15,O24,69,AFU,485,515,gfp61485515
gfp,61,540,0.15,P22,44,AFU,485,515,gfp61485515
gfp,61,540,0.15,P23,30,AFU,485,515,gfp61485515
gfp,61,540,0.15,P24,20,AFU,485,515,gfp61485515
gfp,61,720,0.2,L22,59,AFU,485,515,gfp61485515
gfp,61,720,0.2,L23,61,AFU,485,515,gfp61485515
gfp,61,720,0.2,L24,67,AFU,485,515,gfp61485515
gfp,61,720,0.2,M22,53,AFU,485,515,gfp61485515
gfp,61,720,0.2,M23,65,AFU,485,515,gfp61485515
gfp,61,720,0.2,M24,61,AFU,485,515,gfp61485515
gfp,61,720,0.2,N22,62,AFU,485,515,gfp61485515
gfp,61,720,0.2,N23,48,AFU,485,515,gfp61485515
gfp,61,720,0.2,N24,62,AFU,485,515,gfp61485515
gfp,61,720,0.2,O22,58,AFU,485,515,gfp61485515
gfp,61,720,0.2,O23,72,AFU,485,515,gfp61485515
gfp,61,720,0.2,O24,64,AFU,485,515,gfp61485515
gfp,61,720,0.2,P22,50,AFU,485,515,gfp61485515
gfp,61,720,0.2,P23,29,AFU,485,515,gfp61485515
gfp,61,720,0.2,P24,18,AFU,485,515,gfp61485515
gfp,61,900,0.25,L22,61,AFU,485,515,gfp61485515
gfp,61,900,0.25,L23,67,AFU,485,515,gfp61485515
gfp,61,900,0.25,L24,55,AFU,485,515,gfp61485515
gfp,61,900,0.25,M22,36,AFU,485,515,gfp61485515
gfp,61,900,0.25,M23,59,AFU,485,515,gfp61485515
gfp,61,900,0.25,M24,55,AFU,485,515,gfp61485515
gfp,61,900,0.25,N22,48,AFU,485,515,gfp61485515
gfp,61,900,0.25,N23,58,AFU,485,515,gfp61485515
gfp,61,900,0.25,N24,61,AFU,485,515,gfp61485515
gfp,61,900,0.25,O22,52,AFU,485,515,gfp61485515
gfp,61,900,0.25,O23,60,AFU,485,515,gfp61485515
gfp,61,900,0.25,O24,59,AFU,485,515,gfp61485515
gfp,61,900,0.25,P22,22,AFU,485,515,gfp61485515
gfp,61,900,0.25,P23,20,AFU,485,515,gfp61485515
gfp,61,900,0.25,P24,15,AFU,485,515,gfp61485515
gfp,61,1080,0.3,L22,69,AFU,485,515,gfp61485515
gfp,61,1080,0.3,L23,63,AFU,485,515,gfp61485515
gfp,61,1080,0.3,L24,62,AFU,485,515,gfp61485515
gfp,61,1080,0.3,M22,36,AFU,485,515,gfp61485515
gfp,61,1080,0.3,M23,49,AFU,485,515,gfp61485515
gfp,61,1080,0.3,M24,50,AFU,485,515,gfp61485515
gfp,61,1080,0.3,N22,45,AFU,485,515,gfp61485515
gfp,61,1080,0.3,N23,51,AFU,485,515,gfp61485515
gfp,61,1080,0.3,N24,40,AFU,485,515,gfp61485515
gfp,61,1080,0.3,O22,51,AFU,485,515,gfp61485515
gfp,61,1080,0.3,O23,74,AFU,485,515,gfp61485515
gfp,61,1080,0.3,O24,64,AFU,485,515,gfp61485515
gfp,61,1080,0.3,P22,23,AFU,485,515,gfp61485515
gfp,61,1080,0.3,P23,19,AFU,485,515,gfp61485515
gfp,61,1080,0.3,P24,15,AFU,485,515,gfp61485515
gfp,61,1260,0.35,L22,84,AFU,485,515,gfp61485515
gfp,61,1260,0.35,L23,80,AFU,485,515,gfp61485515
gfp,61,1260,0.35,L24,88,AFU,485,515,gfp61485515
gfp,61,1260,0.35,M22,18,AFU,485,515,gfp61485515
gfp,61,1260,0.35,M23,45,AFU,485,515,gfp61485515
gfp,61,1260,0.35,M24,50,AFU,485,515,gfp61485515
gfp,61,1260,0.35,N22,52,AFU,485,515,gfp61485515
gfp,61,1260,0.35,N23,36,AFU,485,515,gfp61485515
gfp,61,1260,0.35,N24,52,AFU,485,515,gfp61485515
gfp,61,1260,0.35,O22,84,AFU,485,515,gfp61485515
gfp,61,1260,0.35,O23,105,AFU,485,515,gfp61485515
gfp,61,1260,0.35,O24,102,AFU,485,515,gfp61485515
gfp,61,1260,0.35,P22,24,AFU,485,515,gfp61485515
gfp,61,1260,0.35,P23,15,AFU,485,515,gfp61485515
gfp,61,1260,0.35,P24,16,AFU,485,515,gfp61485515
gfp,61,1440,0.4,L22,152,AFU,485,515,gfp61485515
gfp,61,1440,0.4,L23,130,AFU,485,515,gfp61485515
gfp,61,1440,0.4,L24,141,AFU,485,515,gfp61485515
gfp,61,1440,0.4,M22,30,AFU,485,515,gfp61485515
gfp,61,1440,0.4,M23,36,AFU,485,515,gfp61485515
gfp,61,1440,0.4,M24,31,AFU,485,515,gfp61485515
gfp,61,1440,0.4,N22,89,AFU,485,515,gfp61485515
gfp,61,1440,0.4,N23,69,AFU,485,515,gfp61485515
gfp,61,1440,0.4,N24,78,AFU,485,515,gfp61485515
gfp,61,1440,0.4,O22,116,AFU,485,515,gfp61485515
gfp,61,1440,0.4,O23,139,AFU,485,515,gfp61485515
gfp,61,1440,0.4,O24,157,AFU,485,515,gfp61485515
gfp,61,1440,0.4,P22,29,AFU,485,515,gfp61485515
gfp,61,1440,0.4,P23,21,AFU,485,515,gfp61485515
gfp,61,1440,0.4,P24,14,AFU,485,515,gfp61485515
gfp,61,1620,0.45,L22,216,AFU,485,515,gfp61485515
gfp,61,1620,0.45,L23,184,AFU,485,515,gfp61485515
gfp,61,1620,0.45,L24,196,AFU,485,515,gfp61485515
gfp,61,1620,0.45,M22,11,AFU,485,515,gfp61485515
gfp,61,1620,0.45,M23,30,AFU,485,515,gfp61485515
gfp,61,1620,0.45,M24,27,AFU,485,515,gfp61485515
gfp,61,1620,0.45,N22,109,AFU,485,515,gfp61485515
gfp,61,1620,0.45,N23,87,AFU,485,515,gfp61485515
gfp,61,1620,0.45,N24,95,AFU,485,515,gfp61485515
gfp,61,1620,0.45,O22,156,AFU,485,515,gfp61485515
gfp,61,1620,0.45,O23,192,AFU,485,515,gfp61485515
gfp,61,1620,0.45,O24,207,AFU,485,515,gfp61485515
gfp,61,1620,0.45,P22,29,AFU,485,515,gfp61485515
gfp,61,1620,0.45,P23,23,AFU,485,515,gfp61485515
gfp,61,1620,0.45,P24,17,AFU,485,515,gfp61485515
gfp,61,1800,0.5,L22,278,AFU,485,515,gfp61485515
gfp,61,1800,0.5,L23,234,AFU,485,515,gfp61485515
gfp,61,1800,0.5,L24,245,AFU,485,515,gfp61485515
gfp,61,1800,0.5,M22,2,AFU,485,515,gfp61485515
gfp,61,1800,0.5,M23,18,AFU,485,515,gfp61485515
gfp,61,1800,0.5,M24,15,AFU,485,515,gfp61485515
gfp,61,1800,0.5,N22,132,AFU,485,515,gfp61485515
gfp,61,1800,0.5,N23,99,AFU,485,515,gfp61485515
gfp,61,1800,0.5,N24,116,AFU,485,515,gfp61485515
gfp,61,1800,0.5,O22,203,AFU,485,515,gfp61485515
gfp,61,1800,0.5,O23,229,AFU,485,515,gfp61485515
gfp,61,1800,0.5,O24,269,AFU,485,515,gfp61485515
gfp,61,1800,0.5,P22,29,AFU,485,515,gfp61485515
gfp,61,1800,0.5,P23,27,AFU,485,515,gfp61485515
gfp,61,1800,0.5,P24,15,AFU,485,515,gfp61485515
gfp,61,1980,0.55,L22,340,AFU,485,515,gfp61485515
gfp,61,1980,0.55,L23,290,AFU,485,515,gfp61485515
gfp,61,1980,0.55,L24,304,AFU,485,515,gfp61485515
gfp,61,1980,0.55,M22,17,AFU,485,515,gfp61485515
gfp,61,1980,0.55,M23,18,AFU,485,515,gfp61485515
gfp,61,1980,0.55,M24,15,AFU,485,515,gfp61485515
gfp,61,1980,0.55,N22,147,AFU,485,515,gfp61485515
gfp,61,1980,0.55,N23,120,AFU,485,515,gfp61485515
gfp,61,1980,0.55,N24,141,AFU,485,515,gfp61485515
gfp,61,1980,0.55,O22,233,AFU,485,515,gfp61485515
gfp,61,1980,0.55,O23,279,AFU,485,515,gfp61485515
gfp,61,1980,0.55,O24,308,AFU,485,515,gfp61485515
gfp,61,1980,0.55,P22,26,AFU,485,515,gfp61485515
gfp,61,1980,0.55,P23,19,AFU,485,515,gfp61485515
gfp,61,1980,0.55,P24,4,AFU,485,515,gfp61485515
gfp,61,2160,0.6,L22,382,AFU,485,515,gfp61485515
gfp,61,2160,0.6,L23,364,AFU,485,515,gfp61485515
gfp,61,2160,0.6,L24,366,AFU,485,515,gfp61485515
gfp,61,2160,0.6,M22,14,AFU,485,515,gfp61485515
gfp,61,2160,0.6,M23,19,AFU,485,515,gfp61485515
gfp,61,2160,0.6,M24,20,AFU,485,515,gfp61485515
gfp,61,2160,0.6,N22,180,AFU,485,515,gfp61485515
gfp,61,2160,0.6,N23,132,AFU,485,515,gfp61485515
gfp,61,2160,0.6,N24,166,AFU,485,515,gfp61485515
gfp,61,2160,0.6,O22,284,AFU,485,515,gfp61485515
gfp,61,2160,0.6,O23,330,AFU,485,515,gfp61485515
gfp,61,2160,0.6,O24,350,AFU,485,515,gfp61485515
gfp,61,2160,0.6,P22,21,AFU,485,515,gfp61485515
gfp,61,2160,0.6,P23,18,AFU,485,515,gfp61485515
gfp,61,2160,0.6,P24,19,AFU,485,515,gfp61485515
gfp,61,2340,0.65,L22,470,AFU,485,515,gfp61485515
gfp,61,2340,0.65,L23,440,AFU,485,515,gfp61485515
gfp,61,2340,0.65,L24,427,AFU,485,515,gfp61485515
gfp,61,2340,0.65,M22,11,AFU,485,515,gfp61485515
gfp,61,2340,0.65,M23,17,AFU,485,515,gfp61485515
gfp,61,2340,0.65,M24,18,AFU,485,515,gfp61485515
gfp,61,2340,0.65,N22,215,AFU,485,515,gfp61485515
gfp,61,2340,0.65,N23,156,AFU,485,515,gfp61485515
gfp,61,2340,0.65,N24,180,AFU,485,515,gfp61485515
gfp,61,2340,0.65,O22,307,AFU,485,515,gfp61485515
gfp,61,2340,0.65,O23,372,AFU,485,515,gfp61485515
gfp,61,2340,0.65,O24,411,AFU,485,515,gfp61485515
gfp,61,2340,0.65,P22,18,AFU,485,515,gfp61485515
