Software Version	3.04.17																								
																									
																									
																									
Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201105_gfp_miscinbeg.xpt																								
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\gfp_24hr_protocol.prt																								
																									
																									
																									
Plate Number	Plate 1																								
Date	11/5/20																								
Time	5:53:13 PM																								
Reader Type:	Synergy H1																								
Reader Serial Number:	271275																								
Reading Type	Reader																								
																									
Procedure Details																									
																									
Plate Type	384 WELL PLATE																								
Well Selection	Runtime																								
Eject plate on completion																									
Set Temperature	Setpoint 34°C																								
	Preheat before moving to next step																								
Start Kinetic	"Runtime 24:00:00 (HH:MM:SS), Interval 0:03:00, 481 Reads"																								
    Read	gfp																								
	Fluorescence Endpoint																								
	Full Plate																								
	Filter Set 1																								
	"    Excitation: 485,  Emission: 515"																								
	"    Optics: Bottom,  Gain: 61"																								
	Filter Set 2																								
	"    Excitation: 485,  Emission: 515"																								
	"    Optics: Bottom,  Gain: 100"																								
	"Light Source: Xenon Flash,  Lamp Energy: High"																								
	"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10"																								
	Read Height: 9.5 mm																								
End Kinetic																									
																									
Layout																									
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
A																									Well ID
B																									Well ID
C																									Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																							SPL1	SPL10	Well ID
I																							SPL2	SPL11	Well ID
J																							SPL3	SPL12	Well ID
K																							SPL4	SPL13	Well ID
L																							SPL5	SPL14	Well ID
M																							SPL6	SPL15	Well ID
N																							SPL7	SPL16	Well ID
O																							SPL8	SPL17	Well ID
P																							SPL9	SPL18	Well ID
																									
"gfp:485,515"																									
																									
Time	"T° gfp:485,515"	H23	H24	I23	I24	J23	J24	K23	K24	L23	L24	M23	M24	N23	N24	O23	O24	P23	P24						
0:00:00	26.9	26	61	57	55	54	65	47	50	71	75	57	63	36	41	47	43	35	36						
0:03:00	30.5	15	29	40	46	53	64	28	36	69	72	63	46	31	48	38	49	17	40						
0:06:00	33.3	20	30	33	31	43	36	25	37	56	67	50	45	32	38	37	50	27	30						
0:09:00	34	14	29	27	28	24	33	37	35	49	63	39	34	25	32	46	56	32	34						
0:12:00	34	11	23	33	31	16	34	40	39	52	61	26	28	44	34	39	54	25	31						
0:15:00	34	15	34	36	31	42	43	44	44	53	57	21	33	42	47	32	43	23	34						
0:18:00	34	20	37	32	39	35	41	44	36	56	51	17	36	46	53	48	51	21	28						
0:21:00	33.9	26	37	28	29	40	45	48	44	42	50	35	41	59	54	57	58	26	23						
0:24:00	34	21	40	17	28	45	57	55	51	54	52	33	37	60	69	69	66	25	15						
0:27:00	34	20	48	22	23	55	57	53	49	47	50	34	45	76	94	82	66	14	22						
0:30:00	34	22	48	23	23	41	73	70	59	49	51	42	48	90	99	99	82	25	26						
0:33:00	34	26	56	34	26	65	77	69	75	54	52	42	55	93	106	123	95	9	21						
0:36:00	34	30	63	14	23	75	92	77	83	51	54	47	56	109	128	145	103	24	22						
0:39:00	34	33	74	23	28	79	106	91	99	47	44	50	65	126	149	169	130	18	31						
