Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,0,0.0,H23,26,AFU,485,515,gfp61485515
gfp,61,0,0.0,H24,61,AFU,485,515,gfp61485515
gfp,61,0,0.0,I23,57,AFU,485,515,gfp61485515
gfp,61,0,0.0,I24,55,AFU,485,515,gfp61485515
gfp,61,0,0.0,J23,54,AFU,485,515,gfp61485515
gfp,61,0,0.0,J24,65,AFU,485,515,gfp61485515
gfp,61,0,0.0,K23,47,AFU,485,515,gfp61485515
gfp,61,0,0.0,K24,50,AFU,485,515,gfp61485515
gfp,61,0,0.0,L23,71,AFU,485,515,gfp61485515
gfp,61,0,0.0,L24,75,AFU,485,515,gfp61485515
gfp,61,0,0.0,M23,57,AFU,485,515,gfp61485515
gfp,61,0,0.0,M24,63,AFU,485,515,gfp61485515
gfp,61,0,0.0,N23,36,AFU,485,515,gfp61485515
gfp,61,0,0.0,N24,41,AFU,485,515,gfp61485515
gfp,61,0,0.0,O23,47,AFU,485,515,gfp61485515
gfp,61,0,0.0,O24,43,AFU,485,515,gfp61485515
gfp,61,0,0.0,P23,35,AFU,485,515,gfp61485515
gfp,61,0,0.0,P24,36,AFU,485,515,gfp61485515
gfp,61,180,0.05,H23,15,AFU,485,515,gfp61485515
gfp,61,180,0.05,H24,29,AFU,485,515,gfp61485515
gfp,61,180,0.05,I23,40,AFU,485,515,gfp61485515
gfp,61,180,0.05,I24,46,AFU,485,515,gfp61485515
gfp,61,180,0.05,J23,53,AFU,485,515,gfp61485515
gfp,61,180,0.05,J24,64,AFU,485,515,gfp61485515
gfp,61,180,0.05,K23,28,AFU,485,515,gfp61485515
gfp,61,180,0.05,K24,36,AFU,485,515,gfp61485515
gfp,61,180,0.05,L23,69,AFU,485,515,gfp61485515
gfp,61,180,0.05,L24,72,AFU,485,515,gfp61485515
gfp,61,180,0.05,M23,63,AFU,485,515,gfp61485515
gfp,61,180,0.05,M24,46,AFU,485,515,gfp61485515
gfp,61,180,0.05,N23,31,AFU,485,515,gfp61485515
gfp,61,180,0.05,N24,48,AFU,485,515,gfp61485515
gfp,61,180,0.05,O23,38,AFU,485,515,gfp61485515
gfp,61,180,0.05,O24,49,AFU,485,515,gfp61485515
gfp,61,180,0.05,P23,17,AFU,485,515,gfp61485515
gfp,61,180,0.05,P24,40,AFU,485,515,gfp61485515
gfp,61,360,0.1,H23,20,AFU,485,515,gfp61485515
gfp,61,360,0.1,H24,30,AFU,485,515,gfp61485515
gfp,61,360,0.1,I23,33,AFU,485,515,gfp61485515
gfp,61,360,0.1,I24,31,AFU,485,515,gfp61485515
gfp,61,360,0.1,J23,43,AFU,485,515,gfp61485515
gfp,61,360,0.1,J24,36,AFU,485,515,gfp61485515
gfp,61,360,0.1,K23,25,AFU,485,515,gfp61485515
gfp,61,360,0.1,K24,37,AFU,485,515,gfp61485515
gfp,61,360,0.1,L23,56,AFU,485,515,gfp61485515
gfp,61,360,0.1,L24,67,AFU,485,515,gfp61485515
gfp,61,360,0.1,M23,50,AFU,485,515,gfp61485515
gfp,61,360,0.1,M24,45,AFU,485,515,gfp61485515
gfp,61,360,0.1,N23,32,AFU,485,515,gfp61485515
gfp,61,360,0.1,N24,38,AFU,485,515,gfp61485515
gfp,61,360,0.1,O23,37,AFU,485,515,gfp61485515
gfp,61,360,0.1,O24,50,AFU,485,515,gfp61485515
gfp,61,360,0.1,P23,27,AFU,485,515,gfp61485515
gfp,61,360,0.1,P24,30,AFU,485,515,gfp61485515
gfp,61,540,0.15,H23,14,AFU,485,515,gfp61485515
gfp,61,540,0.15,H24,29,AFU,485,515,gfp61485515
gfp,61,540,0.15,I23,27,AFU,485,515,gfp61485515
gfp,61,540,0.15,I24,28,AFU,485,515,gfp61485515
gfp,61,540,0.15,J23,24,AFU,485,515,gfp61485515
gfp,61,540,0.15,J24,33,AFU,485,515,gfp61485515
gfp,61,540,0.15,K23,37,AFU,485,515,gfp61485515
gfp,61,540,0.15,K24,35,AFU,485,515,gfp61485515
gfp,61,540,0.15,L23,49,AFU,485,515,gfp61485515
gfp,61,540,0.15,L24,63,AFU,485,515,gfp61485515
gfp,61,540,0.15,M23,39,AFU,485,515,gfp61485515
gfp,61,540,0.15,M24,34,AFU,485,515,gfp61485515
gfp,61,540,0.15,N23,25,AFU,485,515,gfp61485515
gfp,61,540,0.15,N24,32,AFU,485,515,gfp61485515
gfp,61,540,0.15,O23,46,AFU,485,515,gfp61485515
gfp,61,540,0.15,O24,56,AFU,485,515,gfp61485515
gfp,61,540,0.15,P23,32,AFU,485,515,gfp61485515
gfp,61,540,0.15,P24,34,AFU,485,515,gfp61485515
gfp,61,720,0.2,H23,11,AFU,485,515,gfp61485515
gfp,61,720,0.2,H24,23,AFU,485,515,gfp61485515
gfp,61,720,0.2,I23,33,AFU,485,515,gfp61485515
gfp,61,720,0.2,I24,31,AFU,485,515,gfp61485515
gfp,61,720,0.2,J23,16,AFU,485,515,gfp61485515
gfp,61,720,0.2,J24,34,AFU,485,515,gfp61485515
gfp,61,720,0.2,K23,40,AFU,485,515,gfp61485515
gfp,61,720,0.2,K24,39,AFU,485,515,gfp61485515
gfp,61,720,0.2,L23,52,AFU,485,515,gfp61485515
gfp,61,720,0.2,L24,61,AFU,485,515,gfp61485515
gfp,61,720,0.2,M23,26,AFU,485,515,gfp61485515
gfp,61,720,0.2,M24,28,AFU,485,515,gfp61485515
gfp,61,720,0.2,N23,44,AFU,485,515,gfp61485515
gfp,61,720,0.2,N24,34,AFU,485,515,gfp61485515
gfp,61,720,0.2,O23,39,AFU,485,515,gfp61485515
gfp,61,720,0.2,O24,54,AFU,485,515,gfp61485515
gfp,61,720,0.2,P23,25,AFU,485,515,gfp61485515
gfp,61,720,0.2,P24,31,AFU,485,515,gfp61485515
gfp,61,900,0.25,H23,15,AFU,485,515,gfp61485515
gfp,61,900,0.25,H24,34,AFU,485,515,gfp61485515
gfp,61,900,0.25,I23,36,AFU,485,515,gfp61485515
gfp,61,900,0.25,I24,31,AFU,485,515,gfp61485515
gfp,61,900,0.25,J23,42,AFU,485,515,gfp61485515
gfp,61,900,0.25,J24,43,AFU,485,515,gfp61485515
gfp,61,900,0.25,K23,44,AFU,485,515,gfp61485515
gfp,61,900,0.25,K24,44,AFU,485,515,gfp61485515
gfp,61,900,0.25,L23,53,AFU,485,515,gfp61485515
gfp,61,900,0.25,L24,57,AFU,485,515,gfp61485515
gfp,61,900,0.25,M23,21,AFU,485,515,gfp61485515
gfp,61,900,0.25,M24,33,AFU,485,515,gfp61485515
gfp,61,900,0.25,N23,42,AFU,485,515,gfp61485515
gfp,61,900,0.25,N24,47,AFU,485,515,gfp61485515
gfp,61,900,0.25,O23,32,AFU,485,515,gfp61485515
gfp,61,900,0.25,O24,43,AFU,485,515,gfp61485515
gfp,61,900,0.25,P23,23,AFU,485,515,gfp61485515
gfp,61,900,0.25,P24,34,AFU,485,515,gfp61485515
gfp,61,1080,0.3,H23,20,AFU,485,515,gfp61485515
gfp,61,1080,0.3,H24,37,AFU,485,515,gfp61485515
gfp,61,1080,0.3,I23,32,AFU,485,515,gfp61485515
gfp,61,1080,0.3,I24,39,AFU,485,515,gfp61485515
gfp,61,1080,0.3,J23,35,AFU,485,515,gfp61485515
gfp,61,1080,0.3,J24,41,AFU,485,515,gfp61485515
gfp,61,1080,0.3,K23,44,AFU,485,515,gfp61485515
gfp,61,1080,0.3,K24,36,AFU,485,515,gfp61485515
gfp,61,1080,0.3,L23,56,AFU,485,515,gfp61485515
gfp,61,1080,0.3,L24,51,AFU,485,515,gfp61485515
gfp,61,1080,0.3,M23,17,AFU,485,515,gfp61485515
gfp,61,1080,0.3,M24,36,AFU,485,515,gfp61485515
gfp,61,1080,0.3,N23,46,AFU,485,515,gfp61485515
gfp,61,1080,0.3,N24,53,AFU,485,515,gfp61485515
gfp,61,1080,0.3,O23,48,AFU,485,515,gfp61485515
gfp,61,1080,0.3,O24,51,AFU,485,515,gfp61485515
gfp,61,1080,0.3,P23,21,AFU,485,515,gfp61485515
gfp,61,1080,0.3,P24,28,AFU,485,515,gfp61485515
gfp,61,1260,0.35,H23,26,AFU,485,515,gfp61485515
gfp,61,1260,0.35,H24,37,AFU,485,515,gfp61485515
gfp,61,1260,0.35,I23,28,AFU,485,515,gfp61485515
gfp,61,1260,0.35,I24,29,AFU,485,515,gfp61485515
gfp,61,1260,0.35,J23,40,AFU,485,515,gfp61485515
gfp,61,1260,0.35,J24,45,AFU,485,515,gfp61485515
gfp,61,1260,0.35,K23,48,AFU,485,515,gfp61485515
gfp,61,1260,0.35,K24,44,AFU,485,515,gfp61485515
gfp,61,1260,0.35,L23,42,AFU,485,515,gfp61485515
gfp,61,1260,0.35,L24,50,AFU,485,515,gfp61485515
gfp,61,1260,0.35,M23,35,AFU,485,515,gfp61485515
gfp,61,1260,0.35,M24,41,AFU,485,515,gfp61485515
gfp,61,1260,0.35,N23,59,AFU,485,515,gfp61485515
gfp,61,1260,0.35,N24,54,AFU,485,515,gfp61485515
gfp,61,1260,0.35,O23,57,AFU,485,515,gfp61485515
gfp,61,1260,0.35,O24,58,AFU,485,515,gfp61485515
gfp,61,1260,0.35,P23,26,AFU,485,515,gfp61485515
gfp,61,1260,0.35,P24,23,AFU,485,515,gfp61485515
gfp,61,1440,0.4,H23,21,AFU,485,515,gfp61485515
gfp,61,1440,0.4,H24,40,AFU,485,515,gfp61485515
gfp,61,1440,0.4,I23,17,AFU,485,515,gfp61485515
gfp,61,1440,0.4,I24,28,AFU,485,515,gfp61485515
gfp,61,1440,0.4,J23,45,AFU,485,515,gfp61485515
gfp,61,1440,0.4,J24,57,AFU,485,515,gfp61485515
gfp,61,1440,0.4,K23,55,AFU,485,515,gfp61485515
gfp,61,1440,0.4,K24,51,AFU,485,515,gfp61485515
gfp,61,1440,0.4,L23,54,AFU,485,515,gfp61485515
gfp,61,1440,0.4,L24,52,AFU,485,515,gfp61485515
gfp,61,1440,0.4,M23,33,AFU,485,515,gfp61485515
gfp,61,1440,0.4,M24,37,AFU,485,515,gfp61485515
gfp,61,1440,0.4,N23,60,AFU,485,515,gfp61485515
gfp,61,1440,0.4,N24,69,AFU,485,515,gfp61485515
gfp,61,1440,0.4,O23,69,AFU,485,515,gfp61485515
gfp,61,1440,0.4,O24,66,AFU,485,515,gfp61485515
gfp,61,1440,0.4,P23,25,AFU,485,515,gfp61485515
gfp,61,1440,0.4,P24,15,AFU,485,515,gfp61485515
gfp,61,1620,0.45,H23,20,AFU,485,515,gfp61485515
gfp,61,1620,0.45,H24,48,AFU,485,515,gfp61485515
gfp,61,1620,0.45,I23,22,AFU,485,515,gfp61485515
gfp,61,1620,0.45,I24,23,AFU,485,515,gfp61485515
gfp,61,1620,0.45,J23,55,AFU,485,515,gfp61485515
gfp,61,1620,0.45,J24,57,AFU,485,515,gfp61485515
gfp,61,1620,0.45,K23,53,AFU,485,515,gfp61485515
gfp,61,1620,0.45,K24,49,AFU,485,515,gfp61485515
gfp,61,1620,0.45,L23,47,AFU,485,515,gfp61485515
gfp,61,1620,0.45,L24,50,AFU,485,515,gfp61485515
gfp,61,1620,0.45,M23,34,AFU,485,515,gfp61485515
gfp,61,1620,0.45,M24,45,AFU,485,515,gfp61485515
gfp,61,1620,0.45,N23,76,AFU,485,515,gfp61485515
gfp,61,1620,0.45,N24,94,AFU,485,515,gfp61485515
gfp,61,1620,0.45,O23,82,AFU,485,515,gfp61485515
gfp,61,1620,0.45,O24,66,AFU,485,515,gfp61485515
gfp,61,1620,0.45,P23,14,AFU,485,515,gfp61485515
gfp,61,1620,0.45,P24,22,AFU,485,515,gfp61485515
gfp,61,1800,0.5,H23,22,AFU,485,515,gfp61485515
gfp,61,1800,0.5,H24,48,AFU,485,515,gfp61485515
gfp,61,1800,0.5,I23,23,AFU,485,515,gfp61485515
gfp,61,1800,0.5,I24,23,AFU,485,515,gfp61485515
gfp,61,1800,0.5,J23,41,AFU,485,515,gfp61485515
gfp,61,1800,0.5,J24,73,AFU,485,515,gfp61485515
gfp,61,1800,0.5,K23,70,AFU,485,515,gfp61485515
gfp,61,1800,0.5,K24,59,AFU,485,515,gfp61485515
gfp,61,1800,0.5,L23,49,AFU,485,515,gfp61485515
gfp,61,1800,0.5,L24,51,AFU,485,515,gfp61485515
gfp,61,1800,0.5,M23,42,AFU,485,515,gfp61485515
gfp,61,1800,0.5,M24,48,AFU,485,515,gfp61485515
gfp,61,1800,0.5,N23,90,AFU,485,515,gfp61485515
gfp,61,1800,0.5,N24,99,AFU,485,515,gfp61485515
gfp,61,1800,0.5,O23,99,AFU,485,515,gfp61485515
gfp,61,1800,0.5,O24,82,AFU,485,515,gfp61485515
gfp,61,1800,0.5,P23,25,AFU,485,515,gfp61485515
gfp,61,1800,0.5,P24,26,AFU,485,515,gfp61485515
gfp,61,1980,0.55,H23,26,AFU,485,515,gfp61485515
gfp,61,1980,0.55,H24,56,AFU,485,515,gfp61485515
gfp,61,1980,0.55,I23,34,AFU,485,515,gfp61485515
gfp,61,1980,0.55,I24,26,AFU,485,515,gfp61485515
gfp,61,1980,0.55,J23,65,AFU,485,515,gfp61485515
gfp,61,1980,0.55,J24,77,AFU,485,515,gfp61485515
gfp,61,1980,0.55,K23,69,AFU,485,515,gfp61485515
gfp,61,1980,0.55,K24,75,AFU,485,515,gfp61485515
gfp,61,1980,0.55,L23,54,AFU,485,515,gfp61485515
gfp,61,1980,0.55,L24,52,AFU,485,515,gfp61485515
gfp,61,1980,0.55,M23,42,AFU,485,515,gfp61485515
gfp,61,1980,0.55,M24,55,AFU,485,515,gfp61485515
