Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,0,0.0,A1,64,AFU,485,515,gfp61485515
gfp,61,0,0.0,A2,67,AFU,485,515,gfp61485515
gfp,61,0,0.0,B1,61,AFU,485,515,gfp61485515
gfp,61,0,0.0,B2,67,AFU,485,515,gfp61485515
gfp,61,0,0.0,C1,64,AFU,485,515,gfp61485515
gfp,61,0,0.0,C2,52,AFU,485,515,gfp61485515
gfp,61,0,0.0,D1,65,AFU,485,515,gfp61485515
gfp,61,0,0.0,D2,76,AFU,485,515,gfp61485515
gfp,61,0,0.0,E1,79,AFU,485,515,gfp61485515
gfp,61,0,0.0,E2,69,AFU,485,515,gfp61485515
gfp,61,0,0.0,F1,60,AFU,485,515,gfp61485515
gfp,61,0,0.0,F2,62,AFU,485,515,gfp61485515
gfp,61,0,0.0,G1,63,AFU,485,515,gfp61485515
gfp,61,0,0.0,G2,60,AFU,485,515,gfp61485515
gfp,61,0,0.0,H1,85,AFU,485,515,gfp61485515
gfp,61,0,0.0,H2,75,AFU,485,515,gfp61485515
gfp,61,0,0.0,I1,52,AFU,485,515,gfp61485515
gfp,61,0,0.0,I2,48,AFU,485,515,gfp61485515
gfp,61,180,0.05,A1,53,AFU,485,515,gfp61485515
gfp,61,180,0.05,A2,51,AFU,485,515,gfp61485515
gfp,61,180,0.05,B1,54,AFU,485,515,gfp61485515
gfp,61,180,0.05,B2,60,AFU,485,515,gfp61485515
gfp,61,180,0.05,C1,55,AFU,485,515,gfp61485515
gfp,61,180,0.05,C2,55,AFU,485,515,gfp61485515
gfp,61,180,0.05,D1,63,AFU,485,515,gfp61485515
gfp,61,180,0.05,D2,70,AFU,485,515,gfp61485515
gfp,61,180,0.05,E1,64,AFU,485,515,gfp61485515
gfp,61,180,0.05,E2,68,AFU,485,515,gfp61485515
gfp,61,180,0.05,F1,55,AFU,485,515,gfp61485515
gfp,61,180,0.05,F2,62,AFU,485,515,gfp61485515
gfp,61,180,0.05,G1,63,AFU,485,515,gfp61485515
gfp,61,180,0.05,G2,65,AFU,485,515,gfp61485515
gfp,61,180,0.05,H1,70,AFU,485,515,gfp61485515
gfp,61,180,0.05,H2,75,AFU,485,515,gfp61485515
gfp,61,180,0.05,I1,38,AFU,485,515,gfp61485515
gfp,61,180,0.05,I2,52,AFU,485,515,gfp61485515
gfp,61,360,0.1,A1,63,AFU,485,515,gfp61485515
gfp,61,360,0.1,A2,51,AFU,485,515,gfp61485515
gfp,61,360,0.1,B1,50,AFU,485,515,gfp61485515
gfp,61,360,0.1,B2,58,AFU,485,515,gfp61485515
gfp,61,360,0.1,C1,49,AFU,485,515,gfp61485515
gfp,61,360,0.1,C2,53,AFU,485,515,gfp61485515
gfp,61,360,0.1,D1,58,AFU,485,515,gfp61485515
gfp,61,360,0.1,D2,55,AFU,485,515,gfp61485515
gfp,61,360,0.1,E1,64,AFU,485,515,gfp61485515
gfp,61,360,0.1,E2,60,AFU,485,515,gfp61485515
gfp,61,360,0.1,F1,62,AFU,485,515,gfp61485515
gfp,61,360,0.1,F2,66,AFU,485,515,gfp61485515
gfp,61,360,0.1,G1,55,AFU,485,515,gfp61485515
gfp,61,360,0.1,G2,61,AFU,485,515,gfp61485515
gfp,61,360,0.1,H1,50,AFU,485,515,gfp61485515
gfp,61,360,0.1,H2,54,AFU,485,515,gfp61485515
gfp,61,360,0.1,I1,48,AFU,485,515,gfp61485515
gfp,61,360,0.1,I2,45,AFU,485,515,gfp61485515
gfp,61,540,0.15,A1,54,AFU,485,515,gfp61485515
gfp,61,540,0.15,A2,51,AFU,485,515,gfp61485515
gfp,61,540,0.15,B1,46,AFU,485,515,gfp61485515
gfp,61,540,0.15,B2,50,AFU,485,515,gfp61485515
gfp,61,540,0.15,C1,45,AFU,485,515,gfp61485515
gfp,61,540,0.15,C2,49,AFU,485,515,gfp61485515
gfp,61,540,0.15,D1,53,AFU,485,515,gfp61485515
gfp,61,540,0.15,D2,60,AFU,485,515,gfp61485515
gfp,61,540,0.15,E1,59,AFU,485,515,gfp61485515
gfp,61,540,0.15,E2,57,AFU,485,515,gfp61485515
gfp,61,540,0.15,F1,58,AFU,485,515,gfp61485515
gfp,61,540,0.15,F2,61,AFU,485,515,gfp61485515
gfp,61,540,0.15,G1,58,AFU,485,515,gfp61485515
gfp,61,540,0.15,G2,61,AFU,485,515,gfp61485515
gfp,61,540,0.15,H1,47,AFU,485,515,gfp61485515
gfp,61,540,0.15,H2,37,AFU,485,515,gfp61485515
gfp,61,540,0.15,I1,43,AFU,485,515,gfp61485515
gfp,61,540,0.15,I2,38,AFU,485,515,gfp61485515
gfp,61,720,0.2,A1,37,AFU,485,515,gfp61485515
gfp,61,720,0.2,A2,36,AFU,485,515,gfp61485515
gfp,61,720,0.2,B1,19,AFU,485,515,gfp61485515
gfp,61,720,0.2,B2,26,AFU,485,515,gfp61485515
gfp,61,720,0.2,C1,41,AFU,485,515,gfp61485515
gfp,61,720,0.2,C2,41,AFU,485,515,gfp61485515
gfp,61,720,0.2,D1,36,AFU,485,515,gfp61485515
gfp,61,720,0.2,D2,35,AFU,485,515,gfp61485515
gfp,61,720,0.2,E1,61,AFU,485,515,gfp61485515
gfp,61,720,0.2,E2,62,AFU,485,515,gfp61485515
gfp,61,720,0.2,F1,55,AFU,485,515,gfp61485515
gfp,61,720,0.2,F2,54,AFU,485,515,gfp61485515
gfp,61,720,0.2,G1,57,AFU,485,515,gfp61485515
gfp,61,720,0.2,G2,55,AFU,485,515,gfp61485515
gfp,61,720,0.2,H1,47,AFU,485,515,gfp61485515
gfp,61,720,0.2,H2,56,AFU,485,515,gfp61485515
gfp,61,720,0.2,I1,21,AFU,485,515,gfp61485515
gfp,61,720,0.2,I2,24,AFU,485,515,gfp61485515
gfp,61,900,0.25,A1,64,AFU,485,515,gfp61485515
gfp,61,900,0.25,A2,48,AFU,485,515,gfp61485515
gfp,61,900,0.25,B1,26,AFU,485,515,gfp61485515
gfp,61,900,0.25,B2,25,AFU,485,515,gfp61485515
gfp,61,900,0.25,C1,36,AFU,485,515,gfp61485515
gfp,61,900,0.25,C2,34,AFU,485,515,gfp61485515
gfp,61,900,0.25,D1,46,AFU,485,515,gfp61485515
gfp,61,900,0.25,D2,41,AFU,485,515,gfp61485515
gfp,61,900,0.25,E1,58,AFU,485,515,gfp61485515
gfp,61,900,0.25,E2,60,AFU,485,515,gfp61485515
gfp,61,900,0.25,F1,41,AFU,485,515,gfp61485515
gfp,61,900,0.25,F2,45,AFU,485,515,gfp61485515
gfp,61,900,0.25,G1,105,AFU,485,515,gfp61485515
gfp,61,900,0.25,G2,90,AFU,485,515,gfp61485515
gfp,61,900,0.25,H1,65,AFU,485,515,gfp61485515
gfp,61,900,0.25,H2,60,AFU,485,515,gfp61485515
gfp,61,900,0.25,I1,18,AFU,485,515,gfp61485515
gfp,61,900,0.25,I2,25,AFU,485,515,gfp61485515
gfp,61,1080,0.3,A1,86,AFU,485,515,gfp61485515
gfp,61,1080,0.3,A2,66,AFU,485,515,gfp61485515
gfp,61,1080,0.3,B1,29,AFU,485,515,gfp61485515
gfp,61,1080,0.3,B2,31,AFU,485,515,gfp61485515
gfp,61,1080,0.3,C1,60,AFU,485,515,gfp61485515
gfp,61,1080,0.3,C2,46,AFU,485,515,gfp61485515
gfp,61,1080,0.3,D1,80,AFU,485,515,gfp61485515
gfp,61,1080,0.3,D2,64,AFU,485,515,gfp61485515
gfp,61,1080,0.3,E1,59,AFU,485,515,gfp61485515
gfp,61,1080,0.3,E2,55,AFU,485,515,gfp61485515
gfp,61,1080,0.3,F1,27,AFU,485,515,gfp61485515
gfp,61,1080,0.3,F2,42,AFU,485,515,gfp61485515
gfp,61,1080,0.3,G1,168,AFU,485,515,gfp61485515
gfp,61,1080,0.3,G2,163,AFU,485,515,gfp61485515
gfp,61,1080,0.3,H1,76,AFU,485,515,gfp61485515
gfp,61,1080,0.3,H2,95,AFU,485,515,gfp61485515
gfp,61,1080,0.3,I1,22,AFU,485,515,gfp61485515
gfp,61,1080,0.3,I2,31,AFU,485,515,gfp61485515
gfp,61,1260,0.35,A1,113,AFU,485,515,gfp61485515
gfp,61,1260,0.35,A2,100,AFU,485,515,gfp61485515
gfp,61,1260,0.35,B1,29,AFU,485,515,gfp61485515
gfp,61,1260,0.35,B2,30,AFU,485,515,gfp61485515
gfp,61,1260,0.35,C1,77,AFU,485,515,gfp61485515
gfp,61,1260,0.35,C2,74,AFU,485,515,gfp61485515
gfp,61,1260,0.35,D1,112,AFU,485,515,gfp61485515
gfp,61,1260,0.35,D2,96,AFU,485,515,gfp61485515
gfp,61,1260,0.35,E1,61,AFU,485,515,gfp61485515
gfp,61,1260,0.35,E2,55,AFU,485,515,gfp61485515
gfp,61,1260,0.35,F1,57,AFU,485,515,gfp61485515
gfp,61,1260,0.35,F2,47,AFU,485,515,gfp61485515
gfp,61,1260,0.35,G1,251,AFU,485,515,gfp61485515
gfp,61,1260,0.35,G2,224,AFU,485,515,gfp61485515
gfp,61,1260,0.35,H1,119,AFU,485,515,gfp61485515
gfp,61,1260,0.35,H2,124,AFU,485,515,gfp61485515
gfp,61,1260,0.35,I1,32,AFU,485,515,gfp61485515
gfp,61,1260,0.35,I2,30,AFU,485,515,gfp61485515
gfp,61,1440,0.4,A1,144,AFU,485,515,gfp61485515
gfp,61,1440,0.4,A2,126,AFU,485,515,gfp61485515
gfp,61,1440,0.4,B1,26,AFU,485,515,gfp61485515
gfp,61,1440,0.4,B2,30,AFU,485,515,gfp61485515
gfp,61,1440,0.4,C1,97,AFU,485,515,gfp61485515
gfp,61,1440,0.4,C2,92,AFU,485,515,gfp61485515
gfp,61,1440,0.4,D1,139,AFU,485,515,gfp61485515
gfp,61,1440,0.4,D2,126,AFU,485,515,gfp61485515
gfp,61,1440,0.4,E1,55,AFU,485,515,gfp61485515
gfp,61,1440,0.4,E2,51,AFU,485,515,gfp61485515
gfp,61,1440,0.4,F1,73,AFU,485,515,gfp61485515
gfp,61,1440,0.4,F2,76,AFU,485,515,gfp61485515
gfp,61,1440,0.4,G1,316,AFU,485,515,gfp61485515
gfp,61,1440,0.4,G2,304,AFU,485,515,gfp61485515
gfp,61,1440,0.4,H1,132,AFU,485,515,gfp61485515
gfp,61,1440,0.4,H2,152,AFU,485,515,gfp61485515
gfp,61,1440,0.4,I1,19,AFU,485,515,gfp61485515
gfp,61,1440,0.4,I2,26,AFU,485,515,gfp61485515
gfp,61,1620,0.45,A1,172,AFU,485,515,gfp61485515
gfp,61,1620,0.45,A2,150,AFU,485,515,gfp61485515
gfp,61,1620,0.45,B1,24,AFU,485,515,gfp61485515
gfp,61,1620,0.45,B2,27,AFU,485,515,gfp61485515
gfp,61,1620,0.45,C1,130,AFU,485,515,gfp61485515
gfp,61,1620,0.45,C2,122,AFU,485,515,gfp61485515
gfp,61,1620,0.45,D1,190,AFU,485,515,gfp61485515
gfp,61,1620,0.45,D2,160,AFU,485,515,gfp61485515
gfp,61,1620,0.45,E1,54,AFU,485,515,gfp61485515
gfp,61,1620,0.45,E2,52,AFU,485,515,gfp61485515
gfp,61,1620,0.45,F1,97,AFU,485,515,gfp61485515
gfp,61,1620,0.45,F2,108,AFU,485,515,gfp61485515
gfp,61,1620,0.45,G1,385,AFU,485,515,gfp61485515
gfp,61,1620,0.45,G2,393,AFU,485,515,gfp61485515
gfp,61,1620,0.45,H1,181,AFU,485,515,gfp61485515
gfp,61,1620,0.45,H2,194,AFU,485,515,gfp61485515
gfp,61,1620,0.45,I1,23,AFU,485,515,gfp61485515
gfp,61,1620,0.45,I2,32,AFU,485,515,gfp61485515
gfp,61,1800,0.5,A1,208,AFU,485,515,gfp61485515
gfp,61,1800,0.5,A2,183,AFU,485,515,gfp61485515
gfp,61,1800,0.5,B1,25,AFU,485,515,gfp61485515
gfp,61,1800,0.5,B2,19,AFU,485,515,gfp61485515
gfp,61,1800,0.5,C1,160,AFU,485,515,gfp61485515
gfp,61,1800,0.5,C2,157,AFU,485,515,gfp61485515
gfp,61,1800,0.5,D1,223,AFU,485,515,gfp61485515
gfp,61,1800,0.5,D2,189,AFU,485,515,gfp61485515
gfp,61,1800,0.5,E1,51,AFU,485,515,gfp61485515
gfp,61,1800,0.5,E2,51,AFU,485,515,gfp61485515
gfp,61,1800,0.5,F1,129,AFU,485,515,gfp61485515
gfp,61,1800,0.5,F2,134,AFU,485,515,gfp61485515
gfp,61,1800,0.5,G1,466,AFU,485,515,gfp61485515
gfp,61,1800,0.5,G2,461,AFU,485,515,gfp61485515
gfp,61,1800,0.5,H1,218,AFU,485,515,gfp61485515
gfp,61,1800,0.5,H2,234,AFU,485,515,gfp61485515
gfp,61,1800,0.5,I1,22,AFU,485,515,gfp61485515
gfp,61,1800,0.5,I2,28,AFU,485,515,gfp61485515
gfp,61,1980,0.55,A1,248,AFU,485,515,gfp61485515
gfp,61,1980,0.55,A2,227,AFU,485,515,gfp61485515
gfp,61,1980,0.55,B1,18,AFU,485,515,gfp61485515
gfp,61,1980,0.55,B2,22,AFU,485,515,gfp61485515
gfp,61,1980,0.55,C1,181,AFU,485,515,gfp61485515
gfp,61,1980,0.55,C2,194,AFU,485,515,gfp61485515
gfp,61,1980,0.55,D1,262,AFU,485,515,gfp61485515
gfp,61,1980,0.55,D2,217,AFU,485,515,gfp61485515
