Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,0,0.0,A1,5263,AFU,485,515,gfp61485515
gfp,61,0,0.0,A2,5154,AFU,485,515,gfp61485515
gfp,61,0,0.0,B1,184,AFU,485,515,gfp61485515
gfp,61,0,0.0,B2,182,AFU,485,515,gfp61485515
gfp,61,0,0.0,C1,3921,AFU,485,515,gfp61485515
gfp,61,0,0.0,C2,4506,AFU,485,515,gfp61485515
gfp,61,0,0.0,D1,5310,AFU,485,515,gfp61485515
gfp,61,0,0.0,D2,4652,AFU,485,515,gfp61485515
gfp,61,0,0.0,E1,53,AFU,485,515,gfp61485515
gfp,61,0,0.0,E2,48,AFU,485,515,gfp61485515
gfp,61,0,0.0,F1,3940,AFU,485,515,gfp61485515
gfp,61,0,0.0,F2,4571,AFU,485,515,gfp61485515
gfp,61,0,0.0,G1,8496,AFU,485,515,gfp61485515
gfp,61,0,0.0,G2,8253,AFU,485,515,gfp61485515
gfp,61,0,0.0,H1,3102,AFU,485,515,gfp61485515
gfp,61,0,0.0,H2,3408,AFU,485,515,gfp61485515
gfp,61,0,0.0,I1,585,AFU,485,515,gfp61485515
gfp,61,0,0.0,I2,573,AFU,485,515,gfp61485515
gfp,61,180,0.05,A1,5153,AFU,485,515,gfp61485515
gfp,61,180,0.05,A2,4909,AFU,485,515,gfp61485515
gfp,61,180,0.05,B1,192,AFU,485,515,gfp61485515
gfp,61,180,0.05,B2,188,AFU,485,515,gfp61485515
gfp,61,180,0.05,C1,3875,AFU,485,515,gfp61485515
gfp,61,180,0.05,C2,4320,AFU,485,515,gfp61485515
gfp,61,180,0.05,D1,5242,AFU,485,515,gfp61485515
gfp,61,180,0.05,D2,4598,AFU,485,515,gfp61485515
gfp,61,180,0.05,E1,59,AFU,485,515,gfp61485515
gfp,61,180,0.05,E2,51,AFU,485,515,gfp61485515
gfp,61,180,0.05,F1,3919,AFU,485,515,gfp61485515
gfp,61,180,0.05,F2,4394,AFU,485,515,gfp61485515
gfp,61,180,0.05,G1,8343,AFU,485,515,gfp61485515
gfp,61,180,0.05,G2,8115,AFU,485,515,gfp61485515
gfp,61,180,0.05,H1,3076,AFU,485,515,gfp61485515
gfp,61,180,0.05,H2,3439,AFU,485,515,gfp61485515
gfp,61,180,0.05,I1,573,AFU,485,515,gfp61485515
gfp,61,180,0.05,I2,549,AFU,485,515,gfp61485515
gfp,61,360,0.1,A1,4974,AFU,485,515,gfp61485515
gfp,61,360,0.1,A2,4892,AFU,485,515,gfp61485515
gfp,61,360,0.1,B1,169,AFU,485,515,gfp61485515
gfp,61,360,0.1,B2,175,AFU,485,515,gfp61485515
gfp,61,360,0.1,C1,3777,AFU,485,515,gfp61485515
gfp,61,360,0.1,C2,4221,AFU,485,515,gfp61485515
gfp,61,360,0.1,D1,5095,AFU,485,515,gfp61485515
gfp,61,360,0.1,D2,4508,AFU,485,515,gfp61485515
gfp,61,360,0.1,E1,56,AFU,485,515,gfp61485515
gfp,61,360,0.1,E2,52,AFU,485,515,gfp61485515
gfp,61,360,0.1,F1,3810,AFU,485,515,gfp61485515
gfp,61,360,0.1,F2,4284,AFU,485,515,gfp61485515
gfp,61,360,0.1,G1,8149,AFU,485,515,gfp61485515
gfp,61,360,0.1,G2,7789,AFU,485,515,gfp61485515
gfp,61,360,0.1,H1,2898,AFU,485,515,gfp61485515
gfp,61,360,0.1,H2,3290,AFU,485,515,gfp61485515
gfp,61,360,0.1,I1,544,AFU,485,515,gfp61485515
gfp,61,360,0.1,I2,528,AFU,485,515,gfp61485515
gfp,61,540,0.15,A1,4865,AFU,485,515,gfp61485515
gfp,61,540,0.15,A2,4820,AFU,485,515,gfp61485515
gfp,61,540,0.15,B1,167,AFU,485,515,gfp61485515
gfp,61,540,0.15,B2,160,AFU,485,515,gfp61485515
gfp,61,540,0.15,C1,3691,AFU,485,515,gfp61485515
gfp,61,540,0.15,C2,4061,AFU,485,515,gfp61485515
gfp,61,540,0.15,D1,5039,AFU,485,515,gfp61485515
gfp,61,540,0.15,D2,4417,AFU,485,515,gfp61485515
gfp,61,540,0.15,E1,58,AFU,485,515,gfp61485515
gfp,61,540,0.15,E2,51,AFU,485,515,gfp61485515
gfp,61,540,0.15,F1,3698,AFU,485,515,gfp61485515
gfp,61,540,0.15,F2,4185,AFU,485,515,gfp61485515
gfp,61,540,0.15,G1,7969,AFU,485,515,gfp61485515
gfp,61,540,0.15,G2,7588,AFU,485,515,gfp61485515
gfp,61,540,0.15,H1,2856,AFU,485,515,gfp61485515
gfp,61,540,0.15,H2,3247,AFU,485,515,gfp61485515
gfp,61,540,0.15,I1,536,AFU,485,515,gfp61485515
gfp,61,540,0.15,I2,525,AFU,485,515,gfp61485515
gfp,61,720,0.2,A1,4920,AFU,485,515,gfp61485515
gfp,61,720,0.2,A2,4696,AFU,485,515,gfp61485515
