Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,0,0.0,A6,3098,AFU,485,515,gfp61485515
gfp,61,0,0.0,A7,152,AFU,485,515,gfp61485515
gfp,61,0,0.0,A8,38,AFU,485,515,gfp61485515
gfp,61,0,0.0,A9,43,AFU,485,515,gfp61485515
gfp,61,0,0.0,B6,2420,AFU,485,515,gfp61485515
gfp,61,0,0.0,B7,1348,AFU,485,515,gfp61485515
gfp,61,0,0.0,B8,4365,AFU,485,515,gfp61485515
gfp,61,0,0.0,B9,3340,AFU,485,515,gfp61485515
gfp,61,0,0.0,C6,32,AFU,485,515,gfp61485515
gfp,61,0,0.0,C7,35,AFU,485,515,gfp61485515
gfp,61,0,0.0,C8,3273,AFU,485,515,gfp61485515
gfp,61,0,0.0,C9,2609,AFU,485,515,gfp61485515
gfp,61,0,0.0,D6,6043,AFU,485,515,gfp61485515
gfp,61,0,0.0,D7,6435,AFU,485,515,gfp61485515
gfp,61,0,0.0,D8,1751,AFU,485,515,gfp61485515
gfp,61,0,0.0,D9,1873,AFU,485,515,gfp61485515
gfp,61,0,0.0,E6,1013,AFU,485,515,gfp61485515
gfp,61,0,0.0,E7,1787,AFU,485,515,gfp61485515
gfp,61,0,0.0,G6,3985,AFU,485,515,gfp61485515
gfp,61,0,0.0,G7,3797,AFU,485,515,gfp61485515
gfp,61,0,0.0,G8,2033,AFU,485,515,gfp61485515
gfp,61,0,0.0,G9,543,AFU,485,515,gfp61485515
gfp,61,0,0.0,G10,53,AFU,485,515,gfp61485515
gfp,61,0,0.0,G11,59,AFU,485,515,gfp61485515
gfp,61,0,0.0,H6,34,AFU,485,515,gfp61485515
gfp,61,0,0.0,H7,3634,AFU,485,515,gfp61485515
gfp,61,0,0.0,H8,2308,AFU,485,515,gfp61485515
gfp,61,0,0.0,H9,3749,AFU,485,515,gfp61485515
gfp,61,0,0.0,I6,4830,AFU,485,515,gfp61485515
gfp,61,0,0.0,I7,4507,AFU,485,515,gfp61485515
gfp,61,0,0.0,I8,3743,AFU,485,515,gfp61485515
gfp,61,0,0.0,I9,4422,AFU,485,515,gfp61485515
gfp,61,0,0.0,J6,2448,AFU,485,515,gfp61485515
gfp,61,0,0.0,J7,4165,AFU,485,515,gfp61485515
gfp,61,0,0.0,J8,1329,AFU,485,515,gfp61485515
gfp,61,0,0.0,J9,193,AFU,485,515,gfp61485515
gfp,61,0,0.0,K6,4904,AFU,485,515,gfp61485515
gfp,61,0,0.0,K7,4044,AFU,485,515,gfp61485515
gfp,61,180,0.05,A6,3021,AFU,485,515,gfp61485515
gfp,61,180,0.05,A7,144,AFU,485,515,gfp61485515
gfp,61,180,0.05,A8,39,AFU,485,515,gfp61485515
gfp,61,180,0.05,A9,45,AFU,485,515,gfp61485515
gfp,61,180,0.05,B6,2291,AFU,485,515,gfp61485515
gfp,61,180,0.05,B7,1342,AFU,485,515,gfp61485515
gfp,61,180,0.05,B8,4230,AFU,485,515,gfp61485515
gfp,61,180,0.05,B9,3250,AFU,485,515,gfp61485515
gfp,61,180,0.05,C6,39,AFU,485,515,gfp61485515
gfp,61,180,0.05,C7,40,AFU,485,515,gfp61485515
gfp,61,180,0.05,C8,3265,AFU,485,515,gfp61485515
gfp,61,180,0.05,C9,2587,AFU,485,515,gfp61485515
gfp,61,180,0.05,D6,5954,AFU,485,515,gfp61485515
gfp,61,180,0.05,D7,6324,AFU,485,515,gfp61485515
gfp,61,180,0.05,D8,1753,AFU,485,515,gfp61485515
gfp,61,180,0.05,D9,1863,AFU,485,515,gfp61485515
gfp,61,180,0.05,E6,1025,AFU,485,515,gfp61485515
gfp,61,180,0.05,E7,1767,AFU,485,515,gfp61485515
gfp,61,180,0.05,G6,3947,AFU,485,515,gfp61485515
gfp,61,180,0.05,G7,3760,AFU,485,515,gfp61485515
gfp,61,180,0.05,G8,1925,AFU,485,515,gfp61485515
gfp,61,180,0.05,G9,545,AFU,485,515,gfp61485515
gfp,61,180,0.05,G10,53,AFU,485,515,gfp61485515
gfp,61,180,0.05,G11,61,AFU,485,515,gfp61485515
gfp,61,180,0.05,H6,36,AFU,485,515,gfp61485515
gfp,61,180,0.05,H7,3666,AFU,485,515,gfp61485515
gfp,61,180,0.05,H8,2277,AFU,485,515,gfp61485515
gfp,61,180,0.05,H9,3813,AFU,485,515,gfp61485515
gfp,61,180,0.05,I6,4756,AFU,485,515,gfp61485515
gfp,61,180,0.05,I7,4471,AFU,485,515,gfp61485515
gfp,61,180,0.05,I8,3716,AFU,485,515,gfp61485515
gfp,61,180,0.05,I9,4402,AFU,485,515,gfp61485515
gfp,61,180,0.05,J6,2446,AFU,485,515,gfp61485515
gfp,61,180,0.05,J7,4184,AFU,485,515,gfp61485515
gfp,61,180,0.05,J8,1322,AFU,485,515,gfp61485515
gfp,61,180,0.05,J9,201,AFU,485,515,gfp61485515
gfp,61,180,0.05,K6,4891,AFU,485,515,gfp61485515
gfp,61,180,0.05,K7,4072,AFU,485,515,gfp61485515
gfp,61,360,0.1,A6,2912,AFU,485,515,gfp61485515
gfp,61,360,0.1,A7,140,AFU,485,515,gfp61485515
gfp,61,360,0.1,A8,42,AFU,485,515,gfp61485515
gfp,61,360,0.1,A9,44,AFU,485,515,gfp61485515
gfp,61,360,0.1,B6,2330,AFU,485,515,gfp61485515
gfp,61,360,0.1,B7,1300,AFU,485,515,gfp61485515
gfp,61,360,0.1,B8,4135,AFU,485,515,gfp61485515
gfp,61,360,0.1,B9,3130,AFU,485,515,gfp61485515
gfp,61,360,0.1,C6,26,AFU,485,515,gfp61485515
gfp,61,360,0.1,C7,18,AFU,485,515,gfp61485515
gfp,61,360,0.1,C8,3151,AFU,485,515,gfp61485515
gfp,61,360,0.1,C9,2562,AFU,485,515,gfp61485515
gfp,61,360,0.1,D6,5816,AFU,485,515,gfp61485515
gfp,61,360,0.1,D7,6146,AFU,485,515,gfp61485515
gfp,61,360,0.1,D8,1718,AFU,485,515,gfp61485515
gfp,61,360,0.1,D9,1848,AFU,485,515,gfp61485515
gfp,61,360,0.1,E6,983,AFU,485,515,gfp61485515
gfp,61,360,0.1,E7,1729,AFU,485,515,gfp61485515
gfp,61,360,0.1,G6,3848,AFU,485,515,gfp61485515
gfp,61,360,0.1,G7,3710,AFU,485,515,gfp61485515
gfp,61,360,0.1,G8,1912,AFU,485,515,gfp61485515
gfp,61,360,0.1,G9,527,AFU,485,515,gfp61485515
gfp,61,360,0.1,G10,54,AFU,485,515,gfp61485515
gfp,61,360,0.1,G11,57,AFU,485,515,gfp61485515
gfp,61,360,0.1,H6,31,AFU,485,515,gfp61485515
gfp,61,360,0.1,H7,3677,AFU,485,515,gfp61485515
gfp,61,360,0.1,H8,2259,AFU,485,515,gfp61485515
gfp,61,360,0.1,H9,3685,AFU,485,515,gfp61485515
gfp,61,360,0.1,I6,4810,AFU,485,515,gfp61485515
gfp,61,360,0.1,I7,4411,AFU,485,515,gfp61485515
gfp,61,360,0.1,I8,3658,AFU,485,515,gfp61485515
gfp,61,360,0.1,I9,4370,AFU,485,515,gfp61485515
gfp,61,360,0.1,J6,2429,AFU,485,515,gfp61485515
gfp,61,360,0.1,J7,4054,AFU,485,515,gfp61485515
gfp,61,360,0.1,J8,1298,AFU,485,515,gfp61485515
gfp,61,360,0.1,J9,187,AFU,485,515,gfp61485515
gfp,61,360,0.1,K6,4697,AFU,485,515,gfp61485515
gfp,61,360,0.1,K7,4016,AFU,485,515,gfp61485515
gfp,61,540,0.15,A6,2885,AFU,485,515,gfp61485515
gfp,61,540,0.15,A7,140,AFU,485,515,gfp61485515
gfp,61,540,0.15,A8,36,AFU,485,515,gfp61485515
gfp,61,540,0.15,A9,41,AFU,485,515,gfp61485515
gfp,61,540,0.15,B6,2216,AFU,485,515,gfp61485515
gfp,61,540,0.15,B7,1266,AFU,485,515,gfp61485515
gfp,61,540,0.15,B8,4115,AFU,485,515,gfp61485515
gfp,61,540,0.15,B9,3124,AFU,485,515,gfp61485515
gfp,61,540,0.15,C6,35,AFU,485,515,gfp61485515
gfp,61,540,0.15,C7,25,AFU,485,515,gfp61485515
gfp,61,540,0.15,C8,3135,AFU,485,515,gfp61485515
gfp,61,540,0.15,C9,2503,AFU,485,515,gfp61485515
gfp,61,540,0.15,D6,5782,AFU,485,515,gfp61485515
gfp,61,540,0.15,D7,6020,AFU,485,515,gfp61485515
gfp,61,540,0.15,D8,1660,AFU,485,515,gfp61485515
gfp,61,540,0.15,D9,1767,AFU,485,515,gfp61485515
gfp,61,540,0.15,E6,952,AFU,485,515,gfp61485515
gfp,61,540,0.15,E7,1737,AFU,485,515,gfp61485515
gfp,61,540,0.15,G6,3831,AFU,485,515,gfp61485515
gfp,61,540,0.15,G7,3675,AFU,485,515,gfp61485515
gfp,61,540,0.15,G8,1885,AFU,485,515,gfp61485515
gfp,61,540,0.15,G9,516,AFU,485,515,gfp61485515
gfp,61,540,0.15,G10,51,AFU,485,515,gfp61485515
gfp,61,540,0.15,G11,60,AFU,485,515,gfp61485515
gfp,61,540,0.15,H6,31,AFU,485,515,gfp61485515
gfp,61,540,0.15,H7,3601,AFU,485,515,gfp61485515
gfp,61,540,0.15,H8,2264,AFU,485,515,gfp61485515
gfp,61,540,0.15,H9,3592,AFU,485,515,gfp61485515
gfp,61,540,0.15,I6,4738,AFU,485,515,gfp61485515
gfp,61,540,0.15,I7,4416,AFU,485,515,gfp61485515
gfp,61,540,0.15,I8,3590,AFU,485,515,gfp61485515
gfp,61,540,0.15,I9,4349,AFU,485,515,gfp61485515
gfp,61,540,0.15,J6,2379,AFU,485,515,gfp61485515
gfp,61,540,0.15,J7,4088,AFU,485,515,gfp61485515
gfp,61,540,0.15,J8,1289,AFU,485,515,gfp61485515
gfp,61,540,0.15,J9,185,AFU,485,515,gfp61485515
gfp,61,540,0.15,K6,4666,AFU,485,515,gfp61485515
gfp,61,540,0.15,K7,3979,AFU,485,515,gfp61485515
gfp,61,720,0.2,A6,2837,AFU,485,515,gfp61485515
gfp,61,720,0.2,A7,143,AFU,485,515,gfp61485515
gfp,61,720,0.2,A8,36,AFU,485,515,gfp61485515
gfp,61,720,0.2,A9,43,AFU,485,515,gfp61485515
gfp,61,720,0.2,B6,2207,AFU,485,515,gfp61485515
gfp,61,720,0.2,B7,1264,AFU,485,515,gfp61485515
gfp,61,720,0.2,B8,4051,AFU,485,515,gfp61485515
gfp,61,720,0.2,B9,3058,AFU,485,515,gfp61485515
gfp,61,720,0.2,C6,36,AFU,485,515,gfp61485515
gfp,61,720,0.2,C7,36,AFU,485,515,gfp61485515
gfp,61,720,0.2,C8,3095,AFU,485,515,gfp61485515
gfp,61,720,0.2,C9,2421,AFU,485,515,gfp61485515
gfp,61,720,0.2,D6,5699,AFU,485,515,gfp61485515
gfp,61,720,0.2,D7,6004,AFU,485,515,gfp61485515
gfp,61,720,0.2,D8,1646,AFU,485,515,gfp61485515
gfp,61,720,0.2,D9,1781,AFU,485,515,gfp61485515
gfp,61,720,0.2,E6,948,AFU,485,515,gfp61485515
gfp,61,720,0.2,E7,1710,AFU,485,515,gfp61485515
gfp,61,720,0.2,G6,3823,AFU,485,515,gfp61485515
gfp,61,720,0.2,G7,3609,AFU,485,515,gfp61485515
gfp,61,720,0.2,G8,1867,AFU,485,515,gfp61485515
gfp,61,720,0.2,G9,514,AFU,485,515,gfp61485515
gfp,61,720,0.2,G10,48,AFU,485,515,gfp61485515
gfp,61,720,0.2,G11,61,AFU,485,515,gfp61485515
gfp,61,720,0.2,H6,24,AFU,485,515,gfp61485515
gfp,61,720,0.2,H7,3598,AFU,485,515,gfp61485515
gfp,61,720,0.2,H8,2237,AFU,485,515,gfp61485515
gfp,61,720,0.2,H9,3584,AFU,485,515,gfp61485515
gfp,61,720,0.2,I6,4720,AFU,485,515,gfp61485515
gfp,61,720,0.2,I7,4363,AFU,485,515,gfp61485515
gfp,61,720,0.2,I8,3484,AFU,485,515,gfp61485515
gfp,61,720,0.2,I9,4313,AFU,485,515,gfp61485515
gfp,61,720,0.2,J6,2321,AFU,485,515,gfp61485515
gfp,61,720,0.2,J7,3933,AFU,485,515,gfp61485515
gfp,61,720,0.2,J8,1297,AFU,485,515,gfp61485515
gfp,61,720,0.2,J9,187,AFU,485,515,gfp61485515
gfp,61,720,0.2,K6,4613,AFU,485,515,gfp61485515
gfp,61,720,0.2,K7,3946,AFU,485,515,gfp61485515
gfp,61,900,0.25,A6,2909,AFU,485,515,gfp61485515
gfp,61,900,0.25,A7,136,AFU,485,515,gfp61485515
gfp,61,900,0.25,A8,43,AFU,485,515,gfp61485515
gfp,61,900,0.25,A9,40,AFU,485,515,gfp61485515
gfp,61,900,0.25,B6,2226,AFU,485,515,gfp61485515
gfp,61,900,0.25,B7,1257,AFU,485,515,gfp61485515
gfp,61,900,0.25,B8,4032,AFU,485,515,gfp61485515
gfp,61,900,0.25,B9,3011,AFU,485,515,gfp61485515
gfp,61,900,0.25,C6,30,AFU,485,515,gfp61485515
gfp,61,900,0.25,C7,29,AFU,485,515,gfp61485515
gfp,61,900,0.25,C8,3096,AFU,485,515,gfp61485515
gfp,61,900,0.25,C9,2485,AFU,485,515,gfp61485515
gfp,61,900,0.25,D6,5767,AFU,485,515,gfp61485515
gfp,61,900,0.25,D7,5998,AFU,485,515,gfp61485515
gfp,61,900,0.25,D8,1654,AFU,485,515,gfp61485515
gfp,61,900,0.25,D9,1754,AFU,485,515,gfp61485515
gfp,61,900,0.25,E6,974,AFU,485,515,gfp61485515
gfp,61,900,0.25,E7,1706,AFU,485,515,gfp61485515
gfp,61,900,0.25,G6,3773,AFU,485,515,gfp61485515
gfp,61,900,0.25,G7,3628,AFU,485,515,gfp61485515
gfp,61,900,0.25,G8,1851,AFU,485,515,gfp61485515
gfp,61,900,0.25,G9,508,AFU,485,515,gfp61485515
gfp,61,900,0.25,G10,49,AFU,485,515,gfp61485515
gfp,61,900,0.25,G11,59,AFU,485,515,gfp61485515
gfp,61,900,0.25,H6,33,AFU,485,515,gfp61485515
gfp,61,900,0.25,H7,3538,AFU,485,515,gfp61485515
gfp,61,900,0.25,H8,2183,AFU,485,515,gfp61485515
gfp,61,900,0.25,H9,3513,AFU,485,515,gfp61485515
gfp,61,900,0.25,I6,4670,AFU,485,515,gfp61485515
gfp,61,900,0.25,I7,4276,AFU,485,515,gfp61485515
gfp,61,900,0.25,I8,3543,AFU,485,515,gfp61485515
gfp,61,900,0.25,I9,4161,AFU,485,515,gfp61485515
gfp,61,900,0.25,J6,2365,AFU,485,515,gfp61485515
gfp,61,900,0.25,J7,3876,AFU,485,515,gfp61485515
gfp,61,900,0.25,J8,1281,AFU,485,515,gfp61485515
gfp,61,900,0.25,J9,177,AFU,485,515,gfp61485515
gfp,61,900,0.25,K6,4581,AFU,485,515,gfp61485515
gfp,61,900,0.25,K7,3890,AFU,485,515,gfp61485515
gfp,61,1080,0.3,A6,2885,AFU,485,515,gfp61485515
gfp,61,1080,0.3,A7,139,AFU,485,515,gfp61485515
gfp,61,1080,0.3,A8,35,AFU,485,515,gfp61485515
gfp,61,1080,0.3,A9,49,AFU,485,515,gfp61485515
gfp,61,1080,0.3,B6,2198,AFU,485,515,gfp61485515
gfp,61,1080,0.3,B7,1269,AFU,485,515,gfp61485515
gfp,61,1080,0.3,B8,4002,AFU,485,515,gfp61485515
gfp,61,1080,0.3,B9,3056,AFU,485,515,gfp61485515
gfp,61,1080,0.3,C6,29,AFU,485,515,gfp61485515
gfp,61,1080,0.3,C7,27,AFU,485,515,gfp61485515
gfp,61,1080,0.3,C8,3110,AFU,485,515,gfp61485515
gfp,61,1080,0.3,C9,2421,AFU,485,515,gfp61485515
gfp,61,1080,0.3,D6,5646,AFU,485,515,gfp61485515
gfp,61,1080,0.3,D7,5939,AFU,485,515,gfp61485515
gfp,61,1080,0.3,D8,1640,AFU,485,515,gfp61485515
gfp,61,1080,0.3,D9,1753,AFU,485,515,gfp61485515
gfp,61,1080,0.3,E6,982,AFU,485,515,gfp61485515
gfp,61,1080,0.3,E7,1744,AFU,485,515,gfp61485515
gfp,61,1080,0.3,G6,3725,AFU,485,515,gfp61485515
gfp,61,1080,0.3,G7,3623,AFU,485,515,gfp61485515
gfp,61,1080,0.3,G8,1853,AFU,485,515,gfp61485515
gfp,61,1080,0.3,G9,496,AFU,485,515,gfp61485515
gfp,61,1080,0.3,G10,51,AFU,485,515,gfp61485515
gfp,61,1080,0.3,G11,62,AFU,485,515,gfp61485515
gfp,61,1080,0.3,H6,25,AFU,485,515,gfp61485515
gfp,61,1080,0.3,H7,3587,AFU,485,515,gfp61485515
gfp,61,1080,0.3,H8,2168,AFU,485,515,gfp61485515
gfp,61,1080,0.3,H9,3531,AFU,485,515,gfp61485515
gfp,61,1080,0.3,I6,4721,AFU,485,515,gfp61485515
gfp,61,1080,0.3,I7,4315,AFU,485,515,gfp61485515
gfp,61,1080,0.3,I8,3511,AFU,485,515,gfp61485515
gfp,61,1080,0.3,I9,4235,AFU,485,515,gfp61485515
gfp,61,1080,0.3,J6,2344,AFU,485,515,gfp61485515
gfp,61,1080,0.3,J7,3992,AFU,485,515,gfp61485515
gfp,61,1080,0.3,J8,1272,AFU,485,515,gfp61485515
gfp,61,1080,0.3,J9,183,AFU,485,515,gfp61485515
gfp,61,1080,0.3,K6,4647,AFU,485,515,gfp61485515
gfp,61,1080,0.3,K7,3909,AFU,485,515,gfp61485515
gfp,61,1260,0.35,A6,2779,AFU,485,515,gfp61485515
gfp,61,1260,0.35,A7,142,AFU,485,515,gfp61485515
gfp,61,1260,0.35,A8,43,AFU,485,515,gfp61485515
gfp,61,1260,0.35,A9,33,AFU,485,515,gfp61485515
gfp,61,1260,0.35,B6,2203,AFU,485,515,gfp61485515
gfp,61,1260,0.35,B7,1286,AFU,485,515,gfp61485515
gfp,61,1260,0.35,B8,4002,AFU,485,515,gfp61485515
gfp,61,1260,0.35,B9,3037,AFU,485,515,gfp61485515
gfp,61,1260,0.35,C6,26,AFU,485,515,gfp61485515
gfp,61,1260,0.35,C7,28,AFU,485,515,gfp61485515
gfp,61,1260,0.35,C8,3086,AFU,485,515,gfp61485515
gfp,61,1260,0.35,C9,2429,AFU,485,515,gfp61485515
gfp,61,1260,0.35,D6,5754,AFU,485,515,gfp61485515
gfp,61,1260,0.35,D7,6009,AFU,485,515,gfp61485515
gfp,61,1260,0.35,D8,1629,AFU,485,515,gfp61485515
gfp,61,1260,0.35,D9,1808,AFU,485,515,gfp61485515
gfp,61,1260,0.35,E6,985,AFU,485,515,gfp61485515
gfp,61,1260,0.35,E7,1737,AFU,485,515,gfp61485515
gfp,61,1260,0.35,G6,3681,AFU,485,515,gfp61485515
gfp,61,1260,0.35,G7,3572,AFU,485,515,gfp61485515
gfp,61,1260,0.35,G8,1861,AFU,485,515,gfp61485515
gfp,61,1260,0.35,G9,494,AFU,485,515,gfp61485515
gfp,61,1260,0.35,G10,59,AFU,485,515,gfp61485515
gfp,61,1260,0.35,G11,57,AFU,485,515,gfp61485515
gfp,61,1260,0.35,H6,17,AFU,485,515,gfp61485515
gfp,61,1260,0.35,H7,3520,AFU,485,515,gfp61485515
gfp,61,1260,0.35,H8,2233,AFU,485,515,gfp61485515
gfp,61,1260,0.35,H9,3506,AFU,485,515,gfp61485515
gfp,61,1260,0.35,I6,4671,AFU,485,515,gfp61485515
gfp,61,1260,0.35,I7,4296,AFU,485,515,gfp61485515
gfp,61,1260,0.35,I8,3537,AFU,485,515,gfp61485515
gfp,61,1260,0.35,I9,4257,AFU,485,515,gfp61485515
gfp,61,1260,0.35,J6,2370,AFU,485,515,gfp61485515
gfp,61,1260,0.35,J7,3962,AFU,485,515,gfp61485515
gfp,61,1260,0.35,J8,1270,AFU,485,515,gfp61485515
gfp,61,1260,0.35,J9,181,AFU,485,515,gfp61485515
gfp,61,1260,0.35,K6,4635,AFU,485,515,gfp61485515
gfp,61,1260,0.35,K7,3979,AFU,485,515,gfp61485515
gfp,61,1440,0.4,A6,2873,AFU,485,515,gfp61485515
gfp,61,1440,0.4,A7,139,AFU,485,515,gfp61485515
gfp,61,1440,0.4,A8,41,AFU,485,515,gfp61485515
gfp,61,1440,0.4,A9,43,AFU,485,515,gfp61485515
gfp,61,1440,0.4,B6,2238,AFU,485,515,gfp61485515
gfp,61,1440,0.4,B7,1261,AFU,485,515,gfp61485515
gfp,61,1440,0.4,B8,3981,AFU,485,515,gfp61485515
gfp,61,1440,0.4,B9,3070,AFU,485,515,gfp61485515
gfp,61,1440,0.4,C6,27,AFU,485,515,gfp61485515
gfp,61,1440,0.4,C7,28,AFU,485,515,gfp61485515
gfp,61,1440,0.4,C8,3026,AFU,485,515,gfp61485515
gfp,61,1440,0.4,C9,2406,AFU,485,515,gfp61485515
gfp,61,1440,0.4,D6,5629,AFU,485,515,gfp61485515
gfp,61,1440,0.4,D7,6062,AFU,485,515,gfp61485515
gfp,61,1440,0.4,D8,1612,AFU,485,515,gfp61485515
gfp,61,1440,0.4,D9,1768,AFU,485,515,gfp61485515
gfp,61,1440,0.4,E6,982,AFU,485,515,gfp61485515
gfp,61,1440,0.4,E7,1729,AFU,485,515,gfp61485515
gfp,61,1440,0.4,G6,3757,AFU,485,515,gfp61485515
gfp,61,1440,0.4,G7,3557,AFU,485,515,gfp61485515
gfp,61,1440,0.4,G8,1908,AFU,485,515,gfp61485515
gfp,61,1440,0.4,G9,519,AFU,485,515,gfp61485515
gfp,61,1440,0.4,G10,49,AFU,485,515,gfp61485515
gfp,61,1440,0.4,G11,69,AFU,485,515,gfp61485515
gfp,61,1440,0.4,H6,32,AFU,485,515,gfp61485515
gfp,61,1440,0.4,H7,3592,AFU,485,515,gfp61485515
gfp,61,1440,0.4,H8,2218,AFU,485,515,gfp61485515
gfp,61,1440,0.4,H9,3534,AFU,485,515,gfp61485515
gfp,61,1440,0.4,I6,4609,AFU,485,515,gfp61485515
gfp,61,1440,0.4,I7,4307,AFU,485,515,gfp61485515
gfp,61,1440,0.4,I8,3523,AFU,485,515,gfp61485515
gfp,61,1440,0.4,I9,4251,AFU,485,515,gfp61485515
gfp,61,1440,0.4,J6,2402,AFU,485,515,gfp61485515
gfp,61,1440,0.4,J7,3940,AFU,485,515,gfp61485515
gfp,61,1440,0.4,J8,1284,AFU,485,515,gfp61485515
gfp,61,1440,0.4,J9,177,AFU,485,515,gfp61485515
gfp,61,1440,0.4,K6,4612,AFU,485,515,gfp61485515
gfp,61,1440,0.4,K7,3873,AFU,485,515,gfp61485515
gfp,61,1620,0.45,A6,2847,AFU,485,515,gfp61485515
gfp,61,1620,0.45,A7,141,AFU,485,515,gfp61485515
gfp,61,1620,0.45,A8,39,AFU,485,515,gfp61485515
gfp,61,1620,0.45,A9,41,AFU,485,515,gfp61485515
gfp,61,1620,0.45,B6,2240,AFU,485,515,gfp61485515
gfp,61,1620,0.45,B7,1276,AFU,485,515,gfp61485515
gfp,61,1620,0.45,B8,3983,AFU,485,515,gfp61485515
gfp,61,1620,0.45,B9,3105,AFU,485,515,gfp61485515
gfp,61,1620,0.45,C6,32,AFU,485,515,gfp61485515
gfp,61,1620,0.45,C7,28,AFU,485,515,gfp61485515
gfp,61,1620,0.45,C8,3079,AFU,485,515,gfp61485515
gfp,61,1620,0.45,C9,2452,AFU,485,515,gfp61485515
gfp,61,1620,0.45,D6,5757,AFU,485,515,gfp61485515
gfp,61,1620,0.45,D7,6087,AFU,485,515,gfp61485515
gfp,61,1620,0.45,D8,1676,AFU,485,515,gfp61485515
gfp,61,1620,0.45,D9,1764,AFU,485,515,gfp61485515
gfp,61,1620,0.45,E6,983,AFU,485,515,gfp61485515
gfp,61,1620,0.45,E7,1784,AFU,485,515,gfp61485515
gfp,61,1620,0.45,G6,3722,AFU,485,515,gfp61485515
gfp,61,1620,0.45,G7,3584,AFU,485,515,gfp61485515
gfp,61,1620,0.45,G8,1860,AFU,485,515,gfp61485515
gfp,61,1620,0.45,G9,493,AFU,485,515,gfp61485515
gfp,61,1620,0.45,G10,52,AFU,485,515,gfp61485515
gfp,61,1620,0.45,G11,56,AFU,485,515,gfp61485515
gfp,61,1620,0.45,H6,32,AFU,485,515,gfp61485515
gfp,61,1620,0.45,H7,3619,AFU,485,515,gfp61485515
gfp,61,1620,0.45,H8,2209,AFU,485,515,gfp61485515
gfp,61,1620,0.45,H9,3545,AFU,485,515,gfp61485515
gfp,61,1620,0.45,I6,4689,AFU,485,515,gfp61485515
gfp,61,1620,0.45,I7,4371,AFU,485,515,gfp61485515
gfp,61,1620,0.45,I8,3587,AFU,485,515,gfp61485515
gfp,61,1620,0.45,I9,4202,AFU,485,515,gfp61485515
gfp,61,1620,0.45,J6,2412,AFU,485,515,gfp61485515
gfp,61,1620,0.45,J7,4011,AFU,485,515,gfp61485515
gfp,61,1620,0.45,J8,1257,AFU,485,515,gfp61485515
gfp,61,1620,0.45,J9,176,AFU,485,515,gfp61485515
gfp,61,1620,0.45,K6,4672,AFU,485,515,gfp61485515
gfp,61,1620,0.45,K7,3994,AFU,485,515,gfp61485515
gfp,61,1800,0.5,A6,2860,AFU,485,515,gfp61485515
gfp,61,1800,0.5,A7,136,AFU,485,515,gfp61485515
gfp,61,1800,0.5,A8,34,AFU,485,515,gfp61485515
gfp,61,1800,0.5,A9,47,AFU,485,515,gfp61485515
gfp,61,1800,0.5,B6,2207,AFU,485,515,gfp61485515
gfp,61,1800,0.5,B7,1288,AFU,485,515,gfp61485515
gfp,61,1800,0.5,B8,3976,AFU,485,515,gfp61485515
gfp,61,1800,0.5,B9,3066,AFU,485,515,gfp61485515
gfp,61,1800,0.5,C6,26,AFU,485,515,gfp61485515
gfp,61,1800,0.5,C7,22,AFU,485,515,gfp61485515
gfp,61,1800,0.5,C8,3059,AFU,485,515,gfp61485515
gfp,61,1800,0.5,C9,2401,AFU,485,515,gfp61485515
gfp,61,1800,0.5,D6,5770,AFU,485,515,gfp61485515
gfp,61,1800,0.5,D7,6090,AFU,485,515,gfp61485515
gfp,61,1800,0.5,D8,1628,AFU,485,515,gfp61485515
gfp,61,1800,0.5,D9,1737,AFU,485,515,gfp61485515
gfp,61,1800,0.5,E6,987,AFU,485,515,gfp61485515
gfp,61,1800,0.5,E7,1763,AFU,485,515,gfp61485515
gfp,61,1800,0.5,G6,3708,AFU,485,515,gfp61485515
gfp,61,1800,0.5,G7,3563,AFU,485,515,gfp61485515
gfp,61,1800,0.5,G8,1926,AFU,485,515,gfp61485515
gfp,61,1800,0.5,G9,515,AFU,485,515,gfp61485515
gfp,61,1800,0.5,G10,57,AFU,485,515,gfp61485515
gfp,61,1800,0.5,G11,57,AFU,485,515,gfp61485515
gfp,61,1800,0.5,H6,30,AFU,485,515,gfp61485515
gfp,61,1800,0.5,H7,3541,AFU,485,515,gfp61485515
gfp,61,1800,0.5,H8,2202,AFU,485,515,gfp61485515
gfp,61,1800,0.5,H9,3546,AFU,485,515,gfp61485515
gfp,61,1800,0.5,I6,4627,AFU,485,515,gfp61485515
gfp,61,1800,0.5,I7,4339,AFU,485,515,gfp61485515
gfp,61,1800,0.5,I8,3539,AFU,485,515,gfp61485515
gfp,61,1800,0.5,I9,4333,AFU,485,515,gfp61485515
gfp,61,1800,0.5,J6,2390,AFU,485,515,gfp61485515
gfp,61,1800,0.5,J7,3912,AFU,485,515,gfp61485515
