

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201115_exp14_gfp_prespike.xpt
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\gfp_24hr_protocol.prt



Plate Number	Plate 1
Date	11/16/2020
Time	7:06:18 PM
Reader Type:	Synergy H1
Reader Serial Number:	Unknown
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 34°C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:03:00, 481 Reads
    Read	gfp
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A						SPL1	SPL5	SPL9	SPL13																Well ID
B						SPL2	SPL6	SPL10	SPL14																Well ID
C						SPL3	SPL7	SPL11	SPL15																Well ID
D						SPL4	SPL8	SPL12	SPL16																Well ID
E						SPL17	SPL18																		Well ID
F																									Well ID
G						SPL19	SPL20	SPL21	SPL22	SPL23	SPL24														Well ID
H						SPL25	SPL28	SPL31	SPL34																Well ID
I						SPL26	SPL29	SPL32	SPL35																Well ID
J						SPL27	SPL30	SPL33	SPL36																Well ID
K						SPL37	SPL38																		Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

gfp:485,515

Time	T° gfp:485,515	A6	A7	A8	A9	B6	B7	B8	B9	C6	C7	C8	C9	D6	D7	D8	D9	E6	E7	G6	G7	G8	G9	G10	G11	H6	H7	H8	H9	I6	I7	I8	I9	J6	J7	J8	J9	K6	K7
0:00:00	30.1	40	43	46	24	27	36	39	35	46	59	34	37	30	32	58	40	38	50	36	40	51	55	48	41	17	57	64	57	33	43	26	28	37	48	22	24	28	28
0:03:00	33.3	35	41	49	29	23	24	35	40	48	50	28	27	27	38	59	49	42	48	43	38	40	53	48	52	14	51	47	47	47	44	38	21	36	52	27	25	35	29
0:06:00	34.0	46	32	43	38	29	33	43	44	51	50	18	17	39	53	54	50	44	41	54	41	42	39	30	28	16	45	39	45	45	49	38	47	34	56	28	30	45	37
0:09:00	34.0	58	39	37	12	28	26	53	67	44	44	31	26	69	84	59	53	39	54	62	49	38	38	20	25	15	28	43	32	58	57	46	51	39	64	24	25	58	45
0:12:00	34.0	84	33	18	24	40	44	68	75	43	47	56	40	115	143	53	52	42	45	87	56	33	41	20	30	12	50	45	59	76	82	52	70	42	78	36	24	74	53
0:15:00	34.0	123	19	19	29	51	37	96	105	44	44	87	58	183	212	61	64	38	68	123	84	48	45	29	26	20	90	64	98	115	122	69	105	55	119	40	24	97	79
0:18:00	34.1	165	24	14	26	62	45	154	140	38	49	129	90	286	317	84	84	48	77	170	117	67	46	24	37	16	137	97	141	167	173	103	144	76	165	56	28	145	109
0:21:00	34.0	219	30	17	22	85	54	207	188	37	36	175	115	414	434	101	103	54	97	214	163	86	54	24	22	21	195	126	199	213	230	131	204	107	212	73	24	185	151
0:24:00	34.0	281	24	15	23	109	73	262	248	34	42	234	156	521	542	116	126	61	111	272	214	112	71	21	22	13	276	175	281	287	319	172	280	138	280	104	35	230	204
0:27:00	34.0	369	33	16	19	140	89	334	315	35	37	300	197	681	670	141	148	76	144	332	268	134	78	23	27	16	324	212	337	373	387	218	332	174	345	124	29	307	253
0:30:00	34.0	404	41	13	21	166	106	410	366	26	30	365	252	812	821	156	177	88	172	398	330	163	83	30	28	22	385	251	402	444	447	268	411	219	402	160	34	368	307
