Source Plate Name,Source Plate Type,Source Well,Sample ID,Sample Name,Sample Group,Sample Comment,Destination Plate Name,Destination Well,Transfer Volume,,NOTES
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],A6,4400,,BUFFER
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],A7,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],A8,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],A9,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],B6,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],B7,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],B8,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],B9,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],C6,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],C7,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],C8,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],C9,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],D6,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],D7,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],D8,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],D9,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],E6,4400,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],E7,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],G6,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],G7,4400,,BUFFER 2
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],G8,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],G9,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],H6,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],H7,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],H8,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],H9,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],I6,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],I7,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],I8,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],I9,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],J6,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],J7,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],J8,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],J9,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],K6,4400,,
Source[1],384PP_AQ_BP,H2,,,,,Destination[1],K7,4400,,
