Source Plate Name,Source Plate Type,Source Well,Sample ID,Sample Name,Sample Group,Sample Comment,Destination Plate Name,Destination Well,Transfer Volume,,NOTES
Source[1],384PP_AQ_BP,F1,,,,,Destination[1],B6,1500,,50 mM ATP
Source[1],384PP_AQ_BP,F1,,,,,Destination[1],B7,1500,,
Source[1],384PP_AQ_BP,F1,,,,,Destination[1],B8,750,,25 mM ATP
Source[1],384PP_AQ_BP,F1,,,,,Destination[1],B9,750,,
Source[1],384PP_AQ_BP,F2,,,,,Destination[1],B8,750,,(water)
Source[1],384PP_AQ_BP,F2,,,,,Destination[1],B9,750,,
Source[1],384PP_AQ_BP,F3,,,,,Destination[1],C6,1500,,3PGA
Source[1],384PP_AQ_BP,F3,,,,,Destination[1],C7,1500,,
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],C8,1500,,BUFFER
Source[1],384PP_AQ_BP,G1,,,,,Destination[1],C9,1500,,
Source[1],384PP_AQ_BP,G2,,,,,Destination[1],D6,1500,,DNA
Source[1],384PP_AQ_BP,G2,,,,,Destination[1],D7,1500,,
Source[1],384PP_AQ_BP,G3,,,,,Destination[1],D8,1500,,EXTRACT
Source[1],384PP_AQ_BP,G3,,,,,Destination[1],D9,1500,,
Source[1],384PP_AQ_BP,H1,,,,,Destination[1],E6,1500,,NAD
Source[1],384PP_AQ_BP,H1,,,,,Destination[1],E7,1500,,
