Source Plate Name,Source Plate Type,Source Well,Sample ID,Sample Name,Sample Group,Sample Comment,Destination Plate Name,Destination Well,Transfer Volume,,NOTES
Source[1],384PP_AQ_BP,B1,,,,,Destination[1],H8,1450,,BUFFER SPIKE
Source[1],384PP_AQ_BP,B4,,,,,Destination[1],G1,1450,,ADD WATER
Source[1],384PP_AQ_BP,B4,,,,,Destination[1],G2,1450,,
Source[1],384PP_AQ_BP,B4,,,,,Destination[1],G3,1450,,
Source[1],384PP_AQ_BP,B4,,,,,Destination[1],G4,1450,,
Source[1],384PP_AQ_BP,B5,,,,,Destination[1],G5,1450,,ADD 25 MM ATP SPIKE
Source[1],384PP_AQ_BP,B5,,,,,Destination[1],G6,1450,,
Source[1],384PP_AQ_BP,B6,,,,,Destination[1],G7,1450,,ADD 10 MM ATP SPIKE
Source[1],384PP_AQ_BP,B6,,,,,Destination[1],G8,1450,,
Source[1],384PP_AQ_BP,B8,,,,,Destination[1],H1,1450,,3PGA SPIKE
Source[1],384PP_AQ_BP,B3,,,,,Destination[1],H2,1450,,DNA SPIKE
Source[1],384PP_AQ_BP,B9,,,,,Destination[1],H4,1450,,NAD SPIKE
Source[1],384PP_AQ_BP,B7,,,,,Destination[1],H5,1450,,ADP SPIKE
Source[1],384PP_AQ_BP,B7,,,,,Destination[1],H6,725,,ADP 1/2 SPIKE
Source[1],384PP_AQ_BP,B7,,,,,Destination[1],H7,725,,
Source[1],384PP_AQ_BP,B6,,,,,Destination[1],H6,725,,ATP 1/2 SPIKE
Source[1],384PP_AQ_BP,B6,,,,,Destination[1],H7,725,,
