Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,0,0.0,E1,7550,AFU,485,515,gfp61485515
gfp,61,0,0.0,E2,2785,AFU,485,515,gfp61485515
gfp,61,0,0.0,E3,83,AFU,485,515,gfp61485515
gfp,61,0,0.0,E4,71,AFU,485,515,gfp61485515
gfp,61,0,0.0,E5,2789,AFU,485,515,gfp61485515
gfp,61,0,0.0,E6,3476,AFU,485,515,gfp61485515
gfp,61,0,0.0,E7,2490,AFU,485,515,gfp61485515
gfp,61,0,0.0,F1,38,AFU,485,515,gfp61485515
gfp,61,0,0.0,F2,3597,AFU,485,515,gfp61485515
gfp,61,0,0.0,F3,5258,AFU,485,515,gfp61485515
gfp,61,0,0.0,F4,3381,AFU,485,515,gfp61485515
gfp,61,0,0.0,F5,2916,AFU,485,515,gfp61485515
gfp,61,0,0.0,F6,2284,AFU,485,515,gfp61485515
gfp,61,0,0.0,F7,2793,AFU,485,515,gfp61485515
gfp,61,0,0.0,F8,3069,AFU,485,515,gfp61485515
gfp,61,0,0.0,G1,4705,AFU,485,515,gfp61485515
gfp,61,0,0.0,G2,4818,AFU,485,515,gfp61485515
gfp,61,0,0.0,G3,120,AFU,485,515,gfp61485515
gfp,61,0,0.0,G4,122,AFU,485,515,gfp61485515
gfp,61,0,0.0,G5,4707,AFU,485,515,gfp61485515
gfp,61,0,0.0,G6,3961,AFU,485,515,gfp61485515
gfp,61,0,0.0,G7,4113,AFU,485,515,gfp61485515
gfp,61,0,0.0,G8,4098,AFU,485,515,gfp61485515
gfp,61,0,0.0,H1,3831,AFU,485,515,gfp61485515
gfp,61,0,0.0,H2,3905,AFU,485,515,gfp61485515
gfp,61,0,0.0,H3,3237,AFU,485,515,gfp61485515
gfp,61,0,0.0,H4,4202,AFU,485,515,gfp61485515
gfp,61,0,0.0,H5,5400,AFU,485,515,gfp61485515
gfp,61,0,0.0,H6,4544,AFU,485,515,gfp61485515
gfp,61,0,0.0,H7,4690,AFU,485,515,gfp61485515
gfp,61,0,0.0,H8,4691,AFU,485,515,gfp61485515
gfp,61,180,0.05,E1,7078,AFU,485,515,gfp61485515
gfp,61,180,0.05,E2,2707,AFU,485,515,gfp61485515
gfp,61,180,0.05,E3,76,AFU,485,515,gfp61485515
gfp,61,180,0.05,E4,68,AFU,485,515,gfp61485515
gfp,61,180,0.05,E5,2645,AFU,485,515,gfp61485515
gfp,61,180,0.05,E6,3386,AFU,485,515,gfp61485515
gfp,61,180,0.05,E7,2402,AFU,485,515,gfp61485515
gfp,61,180,0.05,F1,33,AFU,485,515,gfp61485515
gfp,61,180,0.05,F2,3556,AFU,485,515,gfp61485515
gfp,61,180,0.05,F3,4901,AFU,485,515,gfp61485515
gfp,61,180,0.05,F4,3234,AFU,485,515,gfp61485515
gfp,61,180,0.05,F5,2810,AFU,485,515,gfp61485515
gfp,61,180,0.05,F6,2237,AFU,485,515,gfp61485515
gfp,61,180,0.05,F7,2669,AFU,485,515,gfp61485515
gfp,61,180,0.05,F8,2942,AFU,485,515,gfp61485515
gfp,61,180,0.05,G1,4452,AFU,485,515,gfp61485515
gfp,61,180,0.05,G2,4543,AFU,485,515,gfp61485515
gfp,61,180,0.05,G3,106,AFU,485,515,gfp61485515
gfp,61,180,0.05,G4,100,AFU,485,515,gfp61485515
