Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,0,0.0,E1,29,AFU,485,515,gfp61485515
gfp,61,0,0.0,E2,84,AFU,485,515,gfp61485515
gfp,61,0,0.0,E3,43,AFU,485,515,gfp61485515
gfp,61,0,0.0,E4,44,AFU,485,515,gfp61485515
gfp,61,0,0.0,E5,69,AFU,485,515,gfp61485515
gfp,61,0,0.0,E6,71,AFU,485,515,gfp61485515
gfp,61,0,0.0,E7,68,AFU,485,515,gfp61485515
gfp,61,0,0.0,F1,82,AFU,485,515,gfp61485515
gfp,61,0,0.0,F2,44,AFU,485,515,gfp61485515
gfp,61,0,0.0,F3,89,AFU,485,515,gfp61485515
gfp,61,0,0.0,F4,72,AFU,485,515,gfp61485515
gfp,61,0,0.0,F5,66,AFU,485,515,gfp61485515
gfp,61,0,0.0,F6,59,AFU,485,515,gfp61485515
gfp,61,0,0.0,F7,75,AFU,485,515,gfp61485515
gfp,61,0,0.0,F8,80,AFU,485,515,gfp61485515
gfp,61,0,0.0,G1,76,AFU,485,515,gfp61485515
gfp,61,0,0.0,G2,76,AFU,485,515,gfp61485515
gfp,61,0,0.0,G3,53,AFU,485,515,gfp61485515
gfp,61,0,0.0,G4,56,AFU,485,515,gfp61485515
gfp,61,0,0.0,G5,62,AFU,485,515,gfp61485515
gfp,61,0,0.0,G6,44,AFU,485,515,gfp61485515
gfp,61,0,0.0,G7,35,AFU,485,515,gfp61485515
gfp,61,0,0.0,G8,68,AFU,485,515,gfp61485515
gfp,61,0,0.0,H1,29,AFU,485,515,gfp61485515
gfp,61,0,0.0,H2,33,AFU,485,515,gfp61485515
gfp,61,0,0.0,H3,63,AFU,485,515,gfp61485515
gfp,61,0,0.0,H4,52,AFU,485,515,gfp61485515
gfp,61,0,0.0,H5,60,AFU,485,515,gfp61485515
gfp,61,0,0.0,H6,57,AFU,485,515,gfp61485515
gfp,61,0,0.0,H7,59,AFU,485,515,gfp61485515
gfp,61,0,0.0,H8,62,AFU,485,515,gfp61485515
gfp,61,180,0.05,E1,29,AFU,485,515,gfp61485515
gfp,61,180,0.05,E2,70,AFU,485,515,gfp61485515
gfp,61,180,0.05,E3,39,AFU,485,515,gfp61485515
gfp,61,180,0.05,E4,37,AFU,485,515,gfp61485515
gfp,61,180,0.05,E5,66,AFU,485,515,gfp61485515
gfp,61,180,0.05,E6,71,AFU,485,515,gfp61485515
gfp,61,180,0.05,E7,62,AFU,485,515,gfp61485515
gfp,61,180,0.05,F1,73,AFU,485,515,gfp61485515
gfp,61,180,0.05,F2,33,AFU,485,515,gfp61485515
gfp,61,180,0.05,F3,78,AFU,485,515,gfp61485515
gfp,61,180,0.05,F4,75,AFU,485,515,gfp61485515
gfp,61,180,0.05,F5,56,AFU,485,515,gfp61485515
gfp,61,180,0.05,F6,74,AFU,485,515,gfp61485515
gfp,61,180,0.05,F7,59,AFU,485,515,gfp61485515
gfp,61,180,0.05,F8,77,AFU,485,515,gfp61485515
gfp,61,180,0.05,G1,65,AFU,485,515,gfp61485515
gfp,61,180,0.05,G2,60,AFU,485,515,gfp61485515
gfp,61,180,0.05,G3,54,AFU,485,515,gfp61485515
gfp,61,180,0.05,G4,43,AFU,485,515,gfp61485515
gfp,61,180,0.05,G5,53,AFU,485,515,gfp61485515
gfp,61,180,0.05,G6,47,AFU,485,515,gfp61485515
gfp,61,180,0.05,G7,47,AFU,485,515,gfp61485515
gfp,61,180,0.05,G8,59,AFU,485,515,gfp61485515
gfp,61,180,0.05,H1,35,AFU,485,515,gfp61485515
gfp,61,180,0.05,H2,29,AFU,485,515,gfp61485515
gfp,61,180,0.05,H3,56,AFU,485,515,gfp61485515
gfp,61,180,0.05,H4,55,AFU,485,515,gfp61485515
gfp,61,180,0.05,H5,63,AFU,485,515,gfp61485515
gfp,61,180,0.05,H6,57,AFU,485,515,gfp61485515
gfp,61,180,0.05,H7,54,AFU,485,515,gfp61485515
gfp,61,180,0.05,H8,53,AFU,485,515,gfp61485515
gfp,61,360,0.1,E1,36,AFU,485,515,gfp61485515
gfp,61,360,0.1,E2,66,AFU,485,515,gfp61485515
gfp,61,360,0.1,E3,36,AFU,485,515,gfp61485515
